,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.94,0.83,0.72,0.66
jajuk.csv,0.79,0.87,0.76,0.85
vapor.csv,0.35,0.04,0.52,0.08
zorannt.csv,0.62,0.65,0.48,0.8
