,springside.csv,gpsmid.csv,jmule.csv,botsnscouts.csv,libarchive.csv,xuggle.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.07,0.11,0.86,0.22,0.59,0.19,0.33,0.66,0.58
gpsmid.csv,0.16,0.29,0.93,0.33,1.0,0.94,0.3,0.7,0.94
jmule.csv,0.6,0.32,0.21,0.81,0.44,0.49,0.55,0.65,0.56
libarchive.csv,0.43,0.63,0.59,0.63,0.26,0.27,0.6,0.61,0.77
magicwars.csv,0.53,0.63,0.93,0.89,1.0,1.0,0.09,0.77,0.8
springside.csv,0.25,0.58,0.34,0.26,1.0,0.98,0.08,0.56,0.39
turbotrader-bos.csv,0.19,0.08,0.0,0.07,0.12,0.12,0.09,0.23,0.44
xmemcached.csv,0.2,0.37,0.97,0.56,1.0,0.95,0.51,0.95,0.12
xuggle.csv,0.1,0.13,0.21,0.37,0.81,0.21,0.51,0.28,0.42
