,springside.csv,gpsmid.csv,jmule.csv,botsnscouts.csv,libarchive.csv,xuggle.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.29,0.43,1.0,0.7,0.82,0.5,0.54,0.87,0.83
gpsmid.csv,0.39,0.76,1.0,0.59,1.0,0.76,0.65,0.96,0.91
jmule.csv,0.76,0.78,0.92,0.85,0.61,0.8,0.69,0.92,0.78
libarchive.csv,0.73,0.84,0.83,0.93,0.65,0.7,0.73,0.87,0.83
magicwars.csv,0.92,0.92,1.0,0.85,1.0,1.0,0.66,0.9,0.78
springside.csv,0.84,0.92,0.46,0.33,1.0,0.93,0.53,0.79,0.57
turbotrader-bos.csv,0.37,0.57,0.08,0.33,0.47,0.39,0.33,0.68,0.65
xmemcached.csv,0.29,0.55,1.0,0.59,0.96,0.76,0.57,0.94,0.78
xuggle.csv,0.31,0.49,0.33,0.48,0.88,0.72,0.49,0.61,0.48
