,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.28,0.83,0.27,0.18,0.46,0.16,0.42,0.35,0.19,0.35,0.35,0.55,0.31,0.0,0.53
fmri-dmt.csv,0.05,0.2,0.03,0.01,0.2,0.0,0.0,0.02,0.08,0.09,0.0,0.01,0.01,0.47,0.0
ftm.csv,0.22,0.18,0.14,0.31,0.27,0.11,0.16,0.17,0.37,0.29,0.4,0.2,0.01,0.12,0.61
fulguro.csv,0.11,0.12,0.0,0.06,0.15,0.05,0.11,0.12,0.04,0.02,0.05,0.15,0.14,0.0,0.0
gss.csv,0.66,0.88,0.51,0.55,0.73,0.66,0.76,0.48,0.54,0.75,0.0,0.49,0.68,0.99,0.51
illumination.csv,0.42,0.03,0.46,0.54,0.15,0.39,0.23,0.48,0.67,0.0,0.5,0.06,0.24,0.75,0.34
ldview.csv,0.33,0.76,0.0,0.27,0.26,0.32,0.31,0.42,0.79,0.22,0.1,0.24,0.3,0.14,0.35
monetdb.csv,0.42,0.54,0.51,0.01,0.32,0.66,0.27,0.29,0.79,0.49,0.15,0.42,0.7,0.87,0.41
netatalk.csv,0.2,0.4,0.24,0.25,0.26,0.0,0.29,0.09,0.5,0.2,0.0,0.14,0.2,0.2,0.42
olex2.csv,0.29,0.11,0.22,0.38,0.51,0.03,0.44,0.25,0.6,0.34,0.1,0.0,0.32,0.37,0.34
qpe.csv,0.0,0.0,0.43,0.44,0.46,0.39,0.52,0.63,0.83,0.26,0.95,0.11,0.89,0.06,0.41
quark.csv,0.01,0.01,0.0,0.03,0.04,0.0,0.02,0.0,0.02,0.02,0.0,0.03,0.13,0.01,0.0
sepgsql.csv,0.0,0.0,0.0,0.01,0.02,0.0,0.02,0.05,0.15,0.0,0.0,0.01,0.03,0.0,0.1
synergyspace.csv,0.33,0.68,0.24,0.18,0.25,0.03,0.68,0.0,0.87,0.23,0.05,0.2,0.79,0.44,0.1
