,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.69,0.7,0.14,0.36,1.0,0.29,0.17,0.42,0.23,0.35,0.23,0.55,0.57,1.0,0.55
fmri-dmt.csv,0.03,0.15,0.0,0.0,0.0,0.0,0.83,0.04,0.0,0.0,0.0,0.03,0.02,0.69,0.0
ftm.csv,0.49,0.04,0.38,0.53,1.0,0.0,0.33,0.23,0.54,0.12,0.27,0.35,0.98,0.0,0.45
fulguro.csv,0.21,0.26,0.0,0.04,1.0,0.0,0.17,0.15,0.15,0.0,0.0,0.18,0.11,0.09,0.73
gss.csv,0.87,0.96,0.76,0.85,1.0,0.79,0.83,0.69,0.69,0.82,0.97,0.73,0.82,1.0,0.64
illumination.csv,0.08,0.0,0.52,0.53,0.0,0.36,0.17,0.58,0.69,0.82,0.67,0.03,0.25,0.31,0.27
ldview.csv,0.31,0.89,1.0,0.51,0.0,0.43,0.17,0.54,0.77,0.29,0.3,0.32,0.33,0.06,0.27
monetdb.csv,0.72,0.63,0.67,0.94,1.0,0.5,0.5,0.27,0.77,0.41,0.33,0.43,0.67,0.97,0.36
netatalk.csv,0.49,0.7,0.33,0.53,0.0,0.93,0.67,0.15,0.62,0.29,0.3,0.37,0.44,0.23,0.36
olex2.csv,0.56,0.26,0.33,0.53,1.0,0.0,0.67,0.31,0.77,0.29,0.47,0.98,0.59,0.34,0.64
qpe.csv,0.92,0.0,0.33,0.45,0.0,0.29,0.33,0.65,0.62,0.53,0.87,0.17,0.89,0.17,0.27
quark.csv,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.92,0.0,0.03,0.02,0.2,0.09,0.0
sepgsql.csv,0.03,0.89,0.0,0.06,0.0,0.0,0.0,0.23,0.0,0.0,0.03,0.05,0.0,0.0,0.09
synergyspace.csv,0.56,0.59,0.38,0.28,1.0,0.07,0.83,1.0,0.69,0.24,0.17,0.27,0.82,0.4,0.18
