,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.65,0.49,0.92,0.74,0.49,0.9,0.48,0.65,0.92,0.59,0.79,0.49,0.46,0.71,0.56
fmri-dmt.csv,0.96,0.99,0.0,0.0,0.83,0.0,0.8,0.67,0.75,0.83,0.0,0.67,0.5,0.71,0.0
ftm.csv,0.69,0.99,0.54,0.5,0.76,0.75,0.92,0.91,0.69,0.76,0.69,0.69,0.54,0.92,0.51
fulguro.csv,0.98,0.99,0.0,0.88,0.89,0.5,0.88,0.94,0.75,0.0,0.0,0.86,0.94,0.67,0.88
gss.csv,0.44,0.39,0.54,0.36,0.31,0.36,0.29,0.36,0.35,0.38,0.41,0.37,0.41,0.56,0.4
illumination.csv,0.84,0.94,0.61,0.6,0.94,0.8,0.93,0.73,0.45,0.93,0.47,0.83,0.88,0.8,0.83
ldview.csv,0.89,0.44,0.67,0.67,0.77,0.67,0.7,0.77,0.41,0.79,0.73,0.75,0.88,0.94,0.81
monetdb.csv,0.57,0.49,0.58,0.6,0.49,0.59,0.65,0.72,0.43,0.59,0.69,0.55,0.55,0.63,0.58
netatalk.csv,0.55,0.4,0.44,0.46,0.58,0.69,0.5,0.92,0.38,0.61,0.78,0.62,0.49,0.56,0.46
olex2.csv,0.51,0.98,0.4,0.41,0.43,0.0,0.45,0.58,0.39,0.56,0.56,0.53,0.39,0.5,0.47
qpe.csv,0.97,0.5,0.7,0.66,0.78,0.74,0.56,0.7,0.43,0.65,0.36,0.94,0.47,0.92,0.63
quark.csv,0.8,0.75,0.0,0.8,0.8,0.0,0.0,0.0,0.85,0.0,0.0,0.67,0.86,0.75,0.0
sepgsql.csv,0.5,0.96,0.0,0.75,0.5,0.0,0.0,0.91,0.88,0.0,0.0,0.75,0.5,0.0,0.89
synergyspace.csv,0.72,0.6,0.59,0.87,0.77,0.5,0.43,0.92,0.41,0.95,0.83,0.9,0.51,0.81,0.9
