,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.57,0.71,0.7,0.26,0.45,0.13,0.73,0.37,0.33,0.35,0.66,0.54,0.17,0.0,0.0,0.52,0.05,0.33,0.53,0.26
doomlegacy.csv,0.74,0.0,0.4,0.55,0.68,0.72,0.29,0.21,0.34,0.46,0.68,0.3,0.55,0.49,0.46,0.7,0.37,0.0,0.6,0.54
elmo.csv,0.49,0.62,0.25,0.28,0.42,0.17,0.31,0.44,0.49,0.25,0.07,0.1,0.22,0.41,0.51,0.51,0.21,0.7,0.38,0.67
enzo.csv,0.24,0.33,0.61,0.17,0.54,0.58,0.54,0.46,0.64,0.46,0.39,0.55,0.66,0.0,0.81,0.62,0.66,0.26,0.44,0.65
gpac.csv,0.02,0.0,0.13,0.27,0.25,0.42,0.24,0.66,0.0,0.13,0.49,0.0,0.37,0.37,0.27,0.17,0.09,0.0,0.45,0.56
img-browse-sort.csv,0.75,0.42,0.63,0.66,0.64,0.68,0.57,0.65,0.64,0.53,0.69,0.82,0.63,0.71,0.2,0.28,0.64,0.27,0.64,0.5
ktc.csv,0.75,0.44,0.68,0.16,0.6,0.38,0.54,0.54,0.46,0.47,0.26,0.62,0.57,0.55,0.44,0.55,0.62,0.6,0.58,0.47
neoengine.csv,0.51,0.17,0.68,0.5,0.41,0.61,0.66,0.0,0.68,0.68,0.15,0.57,0.59,0.75,0.43,0.62,0.09,0.6,0.61,0.61
nicepress.csv,0.66,0.61,0.38,0.51,0.76,0.82,0.69,0.32,0.27,0.48,0.6,0.55,0.61,0.61,0.74,0.43,0.69,0.6,0.56,0.52
open-ms.csv,0.68,0.23,0.54,0.24,0.64,0.32,0.49,0.14,0.23,0.17,0.25,0.56,0.4,0.67,0.18,0.67,0.48,0.64,0.5,0.43
pcsx2.csv,0.7,0.36,0.19,0.68,0.19,0.56,0.54,0.66,0.66,0.46,0.05,0.2,0.73,0.54,0.58,0.13,0.0,0.06,0.21,0.54
pi-qmc.csv,0.53,0.0,0.69,0.61,0.49,0.68,0.51,0.0,0.09,0.59,0.49,0.64,0.57,0.4,0.68,0.55,0.63,0.82,0.58,0.56
rosegarden.csv,0.77,0.53,0.3,0.51,0.71,0.63,0.49,0.62,0.41,0.53,0.4,0.71,0.67,0.67,0.7,0.64,0.66,0.59,0.52,0.59
salasaga.csv,0.53,0.0,0.56,0.43,0.49,0.45,0.71,0.5,0.62,0.53,0.72,0.43,0.63,0.48,0.26,0.33,0.77,0.37,0.47,0.61
sigil.csv,0.75,0.44,0.59,0.61,0.58,0.5,0.64,0.24,0.26,0.47,0.67,0.82,0.47,0.74,0.31,0.28,0.41,0.5,0.56,0.51
skia.csv,0.65,0.61,0.42,0.45,0.5,0.44,0.51,0.48,0.43,0.0,0.41,0.53,0.45,0.65,0.51,0.36,0.53,0.46,0.6,0.65
smarttag.csv,0.63,0.44,0.61,0.55,0.66,0.65,0.5,0.42,0.2,0.6,0.69,0.56,0.58,0.41,0.64,0.63,0.25,0.71,0.57,0.55
sylpheed-claws.csv,0.38,0.0,0.45,0.0,0.33,0.0,0.46,0.64,0.72,0.3,0.05,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0
xemeiah.csv,0.64,0.24,0.63,0.4,0.62,0.72,0.52,0.63,0.62,0.51,0.75,0.65,0.66,0.59,0.32,0.47,0.73,0.59,0.55,0.65
zscreen.csv,0.71,0.24,0.55,0.77,0.66,0.64,0.63,0.25,0.18,0.25,0.66,0.68,0.62,0.53,0.0,0.49,0.69,0.31,0.58,0.59
