,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.51,0.98,0.35,0.48,0.46,0.77
empyrean.csv,0.99,0.58,0.61,0.68,0.69,0.5
impala.csv,0.12,0.0,0.04,0.84,0.14,0.27
multitude.csv,0.59,0.77,0.75,0.68,0.95,0.77
nutz.csv,0.55,0.23,0.99,0.36,0.52,0.36
pi-qmc.csv,0.23,0.44,0.68,0.24,0.48,1.0
