,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.28,0.0,0.3,0.46,0.71,0.22,0.45,0.0,0.26,0.36,0.57,0.07,0.46,0.79
bibedt.csv,0.42,0.4,0.33,0.58,0.31,0.1,0.52,0.46,0.53,0.57,0.05,0.12,0.55,0.12
brlcad.csv,0.5,0.24,0.53,0.11,0.31,0.29,0.59,0.56,0.26,0.48,0.35,0.09,0.67,0.38
co-ode-owl-plugins.csv,0.26,0.34,0.54,0.72,0.65,0.2,0.49,0.27,0.43,0.32,0.56,0.09,0.68,0.8
firebreath.csv,0.42,0.23,0.59,0.69,0.17,0.11,0.85,0.27,0.46,0.36,0.1,0.19,0.53,0.33
fltk.csv,0.34,0.41,0.55,0.73,0.35,0.13,0.5,0.4,0.69,0.58,0.44,0.28,0.73,0.47
glas.csv,0.3,0.31,0.56,0.61,0.27,0.27,0.82,0.34,0.52,0.3,0.59,0.16,0.63,0.36
gretl.csv,0.33,0.25,0.46,0.69,0.35,0.24,0.81,0.36,0.51,0.28,0.57,0.13,0.64,0.57
konversation.csv,0.31,0.49,0.55,0.58,0.41,0.21,0.65,0.37,0.39,0.39,0.05,0.12,0.54,0.34
micomt.csv,0.36,0.32,0.59,0.73,0.3,0.13,0.24,0.52,0.18,0.62,0.43,0.23,0.76,0.53
openxava.csv,0.36,0.4,0.4,0.5,0.2,0.35,0.68,0.33,0.37,0.13,0.1,0.24,0.43,0.48
sumatrapdf.csv,0.4,0.24,0.55,0.73,0.28,0.2,0.71,0.38,0.74,0.4,0.59,0.21,0.85,0.38
tweetsharp.csv,0.39,0.19,0.52,0.49,0.31,0.1,0.31,0.57,0.51,0.37,0.5,0.0,0.84,0.55
wxcode.csv,0.17,0.41,0.36,0.6,0.1,0.27,0.54,0.3,0.5,0.36,0.05,0.5,0.33,0.05
