,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.62,0.29,0.41,0.62,0.51,0.69,0.64,0.44,0.74,0.17,0.04,0.58,0.67,0.73,0.35,0.79,0.62
biopax.csv,0.81,0.26,0.66,0.59,0.33,0.69,0.61,0.49,0.8,0.45,0.15,0.98,0.72,0.72,0.5,0.91,0.64
ffigo.csv,0.0,0.19,0.0,0.5,0.17,0.01,0.0,0.0,0.23,0.29,0.0,0.14,0.82,0.0,0.41,0.26,0.0
freebios.csv,0.48,0.19,0.77,0.24,0.21,0.32,0.4,0.4,0.45,0.43,0.19,0.61,0.59,0.25,0.38,0.61,0.28
glelite.csv,0.78,0.25,0.65,0.61,0.29,0.74,0.6,0.44,0.76,0.36,0.15,0.98,0.74,0.74,0.56,0.8,0.61
gnupdate.csv,0.66,0.3,0.44,0.59,0.64,0.59,0.56,0.5,0.64,0.25,0.04,0.46,0.65,0.52,0.35,0.62,0.61
go.csv,0.79,0.26,0.49,0.59,0.45,0.68,0.72,0.49,0.8,0.28,0.04,0.68,0.7,0.65,0.49,0.67,0.56
gstreamer.csv,0.79,0.24,0.45,0.61,0.35,0.74,0.63,0.45,0.7,0.24,0.19,0.74,0.65,0.73,0.54,0.87,0.64
metacosm.csv,0.35,0.28,0.07,0.66,0.29,0.25,0.61,0.4,0.57,0.25,0.07,0.51,0.52,0.42,0.43,0.68,0.74
pcsx2.csv,0.75,0.26,0.6,0.6,0.34,0.62,0.66,0.45,0.76,0.28,0.11,0.83,0.35,0.7,0.47,0.79,0.67
pgui.csv,0.02,0.0,0.42,0.54,0.41,0.0,0.64,0.61,0.01,0.09,0.0,0.83,0.03,0.0,0.54,0.87,0.64
qse.csv,0.0,0.2,0.0,0.57,0.0,0.0,0.76,0.0,0.44,0.18,0.1,0.58,0.0,0.0,0.33,0.81,0.58
rebecca-aiml.csv,0.66,0.27,0.44,0.51,0.25,0.51,0.6,0.45,0.6,0.73,0.17,0.69,0.67,0.68,0.49,0.62,0.37
skia.csv,0.65,0.31,0.21,0.57,0.3,0.67,0.47,0.41,0.54,0.35,0.28,0.31,0.46,0.52,0.61,0.18,0.55
vars-redux.csv,0.74,0.28,0.29,0.74,0.24,0.6,0.62,0.43,0.7,0.55,0.21,0.76,0.69,0.67,0.47,0.47,0.61
wxjs.csv,0.0,0.04,0.04,0.0,0.0,0.07,0.0,0.0,0.04,0.41,0.47,0.16,0.0,0.0,0.18,0.03,0.0
yale.csv,0.78,0.32,0.65,0.51,0.32,0.76,0.37,0.5,0.73,0.45,0.13,0.81,0.71,0.58,0.44,0.52,0.51
