,geotools.csv,gpsmid.csv,lphant.csv,nativeclient.csv,xcf.csv,columba.csv,kaffeine.csv,atunes.csv
atunes.csv,0.6,0.38,0.61,0.64,0.57,0.71,0.73,0.77
columba.csv,0.63,0.71,0.6,0.43,0.56,0.67,0.66,0.74
geotools.csv,0.61,0.72,0.49,0.52,0.6,0.52,0.0,0.62
gpsmid.csv,0.35,0.82,0.0,0.48,0.34,0.62,0.0,0.48
kaffeine.csv,0.56,0.78,0.55,0.31,0.64,0.66,0.84,0.75
lphant.csv,0.63,0.75,0.73,0.41,0.64,0.72,0.67,0.73
nativeclient.csv,0.43,0.65,0.7,0.63,0.34,0.4,0.33,0.66
xcf.csv,0.55,0.63,0.41,0.62,0.79,0.62,0.65,0.69
