,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.76,0.22,0.64,0.47,0.35,0.54,0.4,0.48,0.77,0.47,0.74,0.54
gamestone.csv,0.12,0.67,0.21,0.38,0.2,0.0,0.27,0.2,0.51,0.08,0.12,0.46
gbif-providertoolkit.csv,0.64,0.0,0.5,0.27,0.44,0.11,0.6,0.42,0.19,0.38,0.52,0.17
heekscad.csv,0.79,0.4,0.67,0.46,0.33,0.61,0.45,0.51,0.55,0.44,0.85,0.59
igarden.csv,0.7,0.28,0.49,0.57,0.38,0.7,0.42,0.42,0.4,0.57,0.75,0.5
levent.csv,0.7,0.07,0.48,0.31,0.36,0.77,0.57,0.22,0.12,0.4,0.59,0.12
libmesh.csv,0.63,0.0,0.32,0.27,0.32,0.0,0.65,0.53,0.41,0.08,0.55,0.23
openmsx.csv,0.74,0.24,0.33,0.48,0.33,0.62,0.46,0.54,0.7,0.17,0.34,0.15
pnotepad.csv,0.69,0.29,0.63,0.47,0.27,0.68,0.48,0.42,0.77,0.33,0.95,0.59
quark.csv,0.46,0.2,0.43,0.06,0.18,0.04,0.06,0.06,0.05,0.63,0.25,0.34
tango-cs.csv,0.67,0.3,0.56,0.44,0.27,0.69,0.15,0.45,0.71,0.33,0.5,0.56
xcsoar.csv,0.72,0.22,0.71,0.46,0.38,0.49,0.27,0.39,0.62,0.33,0.4,0.48
