,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.53,0.0,0.12,0.08,0.3,0.99,0.16,0.05,0.3,0.15,0.46,0.14
emite.csv,0.6,0.67,0.16,0.15,0.18,0.49,0.21,0.26,0.27,0.05,1.0,0.27
geogebra.csv,0.54,0.62,0.12,0.37,0.2,0.45,0.54,0.28,0.42,0.0,0.43,0.95
hibernate.csv,0.17,0.46,0.13,0.28,0.2,0.26,0.31,0.29,0.96,0.0,0.11,0.39
httpcontentparser.csv,0.41,0.54,0.97,0.24,0.22,0.2,0.1,0.28,0.18,0.0,0.15,0.24
megameknet.csv,0.67,0.65,0.25,0.38,0.26,0.58,0.93,0.24,0.43,0.11,0.12,0.39
myfaces.csv,0.77,0.68,0.21,0.93,0.27,0.84,0.3,0.31,0.4,0.08,0.55,0.33
ns-3.csv,0.99,0.56,0.3,0.24,0.35,0.77,0.38,0.11,0.4,0.09,0.4,0.35
ondex.csv,0.01,0.27,0.18,0.28,0.24,0.18,0.31,0.94,0.28,0.0,0.31,0.39
pixel-commandos.csv,0.09,0.27,0.23,0.22,0.37,0.02,0.13,0.05,0.16,1.0,0.0,0.18
rsyslog.csv,0.47,1.0,0.24,0.34,0.49,0.73,0.53,0.28,0.43,0.18,0.35,0.52
wow-qrsk.csv,0.35,0.27,0.19,0.35,0.98,0.08,0.46,0.31,0.41,0.23,0.27,0.35
