,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.73,1.0,0.81,1.02,0.68,0.01,0.98,0.97,0.79,0.52,0.91,0.92
emite.csv,0.76,1.0,0.79,0.92,1.0,0.9,0.95,0.69,0.78,1.0,0.0,0.76
geogebra.csv,0.74,0.66,0.86,0.55,0.87,0.73,0.54,0.69,0.76,1.0,0.85,0.08
hibernate.csv,0.91,0.67,0.81,0.61,0.85,0.87,0.76,0.65,0.08,1.01,0.94,0.59
httpcontentparser.csv,0.76,0.68,0.05,0.76,0.82,0.9,0.94,0.74,0.88,1.02,0.92,0.79
megameknet.csv,0.69,0.55,0.64,0.45,0.8,0.66,0.1,0.77,0.6,0.61,0.97,0.62
myfaces.csv,0.98,1.0,0.81,0.08,0.92,1.0,0.91,0.68,0.95,0.96,1.01,0.92
ns-3.csv,0.01,0.89,0.47,0.77,0.68,0.91,0.61,0.93,0.65,0.67,0.72,0.64
ondex.csv,0.99,0.85,0.81,0.74,0.85,0.9,0.76,0.12,0.78,1.0,0.81,0.71
pixel-commandos.csv,0.95,0.85,0.85,0.85,0.75,0.99,0.93,0.97,0.9,0.0,1.0,0.9
rsyslog.csv,0.7,0.0,0.61,0.51,0.42,0.54,0.46,0.67,0.61,0.39,0.76,0.41
wow-qrsk.csv,0.79,0.85,0.7,0.49,0.03,0.96,0.6,0.7,0.68,0.33,0.83,0.64
