,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.65,0.0,0.08,0.05,0.2,1.0,0.11,0.1,0.24,0.08,0.37,0.11
emite.csv,0.64,0.51,0.09,0.09,0.11,0.61,0.14,0.2,0.27,0.02,1.0,0.2
geogebra.csv,0.64,0.56,0.11,0.31,0.13,0.78,0.65,0.22,0.29,0.0,0.36,0.98
hibernate.csv,0.67,0.69,0.08,0.18,0.31,0.64,0.42,0.22,1.0,0.0,0.29,0.29
httpcontentparser.csv,0.68,0.54,1.0,0.24,0.15,0.63,0.4,0.29,0.27,0.0,0.3,0.18
megameknet.csv,0.68,0.62,0.18,0.27,0.17,0.76,0.97,0.15,0.38,0.06,0.18,0.27
myfaces.csv,0.65,0.52,0.12,0.94,0.16,0.72,0.19,0.19,0.27,0.04,0.4,0.21
ns-3.csv,0.99,0.47,0.18,0.14,0.22,0.71,0.28,0.08,0.33,0.05,0.64,0.27
ondex.csv,1.0,1.0,0.16,0.28,0.59,0.83,0.42,1.0,0.31,0.0,0.38,0.58
pixel-commandos.csv,0.88,1.0,0.5,0.44,0.76,1.0,0.5,0.14,0.47,1.0,0.0,0.75
rsyslog.csv,0.72,1.0,0.17,0.23,0.38,0.8,0.51,0.22,0.43,0.1,0.53,0.4
wow-qrsk.csv,0.89,1.0,0.11,0.25,0.99,1.0,0.53,0.19,0.53,0.14,0.43,0.26
