,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.46,0.0,0.33,0.23,0.54,0.99,0.3,0.04,0.41,0.82,0.41,0.2
emite.csv,0.51,0.0,0.51,0.4,0.33,0.39,0.37,0.43,0.32,0.32,1.0,0.43
geogebra.csv,0.47,0.61,0.18,0.52,0.41,0.35,0.51,0.4,0.56,0.0,0.45,0.93
hibernate.csv,0.11,0.4,0.33,0.65,0.18,0.19,0.29,0.46,0.93,0.0,0.07,0.59
httpcontentparser.csv,0.34,0.53,0.96,0.29,0.43,0.14,0.07,0.31,0.16,0.0,0.12,0.4
megameknet.csv,0.58,0.65,0.44,0.66,0.51,0.49,0.92,0.5,0.53,0.52,0.12,0.64
myfaces.csv,0.13,0.0,0.53,0.93,0.36,0.0,0.39,0.62,0.23,0.17,0.0,0.31
ns-3.csv,0.99,0.43,0.74,0.55,0.63,0.36,0.59,0.21,0.51,0.51,0.33,0.51
ondex.csv,0.01,0.18,0.24,0.31,0.18,0.12,0.29,0.9,0.29,0.0,0.3,0.35
pixel-commandos.csv,0.06,0.18,0.18,0.18,0.29,0.01,0.09,0.04,0.12,1.0,0.0,0.12
rsyslog.csv,0.39,1.0,0.49,0.61,0.68,0.65,0.61,0.43,0.47,0.74,0.3,0.73
wow-qrsk.csv,0.26,0.18,0.55,0.62,0.98,0.05,0.46,0.62,0.38,0.76,0.22,0.53
