,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.0,49.0,6.0,37.0,79.0,0.0,5.0,2.0,11.0,13.0,2.0,8.0
emite.csv,0.0,4.0,16.0,34.0,67.0,0.0,5.0,1.0,7.0,60.0,0.0,8.0
geogebra.csv,0.0,6.0,6.0,4.0,56.0,0.0,1.0,0.0,11.0,94.0,3.0,0.0
hibernate.csv,0.0,0.0,6.0,27.0,8.0,0.0,5.0,0.0,0.0,94.0,1.0,7.0
httpcontentparser.csv,0.0,2.0,0.0,16.0,72.0,0.0,4.0,0.0,7.0,94.0,5.0,8.0
megameknet.csv,0.0,4.0,1.0,10.0,55.0,0.0,0.0,1.0,24.0,26.0,2.0,7.0
myfaces.csv,0.0,4.0,6.0,0.0,68.0,0.0,5.0,2.0,13.0,41.0,3.0,9.0
ns-3.csv,0.0,9.0,3.0,12.0,53.0,0.0,4.0,6.0,12.0,10.0,2.0,0.0
ondex.csv,0.0,0.0,8.0,5.0,15.0,0.0,19.0,0.0,24.0,94.0,1.0,0.0
pixel-commandos.csv,0.0,0.0,3.0,3.0,1.0,0.0,2.0,4.0,1.0,0.0,70.0,1.0
rsyslog.csv,1.0,0.0,28.0,11.0,1.0,0.0,5.0,1.0,2.0,8.0,2.0,1.0
wow-qrsk.csv,0.0,0.0,4.0,8.0,0.0,0.0,0.0,1.0,1.0,8.0,3.0,11.0
