,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.29,0.54,0.41,0.73,0.83,0.61,0.56,0.59,0.49,0.32,0.53
gabel.csv,0.06,0.34,0.49,0.48,0.87,0.33,0.49,0.25,0.15,0.42,0.18
javaprofiler.csv,0.49,0.51,0.17,0.63,0.59,0.09,0.09,0.24,0.65,0.32,0.67
jmoney.csv,0.89,0.61,0.42,0.57,0.64,0.12,0.41,0.41,0.46,0.6,0.27
mycila.csv,0.72,0.58,0.33,0.13,0.78,0.71,0.63,0.53,0.26,0.53,0.41
neodatis-odb.csv,0.49,0.36,0.67,0.59,0.39,0.45,0.1,0.47,0.07,0.46,0.36
servicestack.csv,0.06,0.02,0.31,0.06,0.0,0.12,0.12,0.04,0.68,0.09,0.09
sqlpower-library.csv,0.45,0.72,0.48,0.41,0.7,0.5,0.25,0.56,0.75,0.4,0.69
synecdoche.csv,0.73,0.23,0.41,0.13,0.63,0.34,0.55,0.56,0.42,0.61,0.37
tmva.csv,0.65,0.0,0.34,0.65,0.27,0.21,0.77,0.09,0.0,0.45,0.37
unicase.csv,0.5,0.67,0.52,0.48,0.77,0.58,0.52,0.72,0.4,0.5,0.13
