,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.2,0.35,0.61,0.29,0.33,0.76,0.27,0.48,0.8,0.19,0.17
gabel.csv,0.02,0.24,0.63,0.31,0.17,0.4,0.32,0.17,0.0,0.3,0.11
javaprofiler.csv,0.78,0.76,0.96,0.69,0.78,0.98,0.98,0.94,0.35,0.91,0.25
jmoney.csv,0.15,0.71,0.53,0.51,0.24,0.26,0.37,0.27,0.11,0.56,0.17
mycila.csv,0.39,0.65,0.43,0.97,0.59,0.26,0.5,0.77,0.57,0.77,0.67
neodatis-odb.csv,0.27,0.47,0.26,0.54,0.55,0.1,0.07,0.82,0.02,0.84,0.17
servicestack.csv,0.07,0.06,0.26,0.14,0.02,0.24,0.1,0.0,0.2,0.05,0.03
sqlpower-library.csv,0.85,0.35,0.44,0.8,0.62,0.5,0.93,0.46,0.52,0.86,0.39
synecdoche.csv,0.32,0.94,0.6,0.97,0.61,0.24,0.23,0.57,0.54,0.26,0.53
tmva.csv,0.66,1.0,0.9,0.46,0.93,0.95,0.25,0.98,1.0,0.28,0.86
unicase.csv,0.83,0.59,0.79,0.57,0.6,0.48,0.8,0.4,0.17,0.79,0.97
