,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.19,0.88,0.21,0.42,0.43,0.54,0.0,0.77,0.19,0.11,0.4
gbif-providertoolkit.csv,0.58,0.25,0.39,0.48,0.64,0.54,0.73,0.62,0.71,0.76,0.6
geochat.csv,0.21,0.0,0.05,0.19,0.14,0.77,0.9,0.31,0.1,0.29,0.5
heekscad.csv,0.75,0.38,0.57,0.58,0.79,0.85,0.43,0.38,0.83,0.55,0.47
igarden.csv,0.61,0.5,0.41,0.68,0.57,0.85,0.59,0.46,0.6,0.56,0.27
jstock.csv,0.53,0.38,0.66,0.55,0.43,0.85,0.33,0.92,0.4,0.6,0.33
levent.csv,0.43,0.12,0.0,0.0,0.86,0.92,0.69,0.46,0.0,0.0,0.0
piccolo2d.csv,0.12,0.0,0.3,0.06,0.64,0.85,0.47,0.38,0.21,0.38,0.17
pnotepad.csv,0.6,0.88,0.91,1.0,0.86,1.0,0.69,0.92,0.85,0.6,0.73
trinitycore.csv,0.43,0.62,0.39,0.71,0.29,0.62,0.08,0.38,0.33,0.55,0.13
xcsoar.csv,0.65,0.25,0.73,0.65,0.64,0.92,0.31,0.31,0.29,0.51,0.33
