,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.52,0.75,0.55,0.45,0.34,0.52,0.4,0.44,0.41,0.5,0.46,0.41,0.64,0.44
crisscross.csv,0.5,0.42,0.55,0.47,0.38,0.5,0.36,0.44,0.36,0.52,0.76,0.34,0.49,0.34
gisgraphy.csv,0.74,0.75,0.83,0.84,0.52,0.67,0.92,0.68,0.8,0.54,0.94,0.42,0.96,0.69
glelite.csv,0.48,0.59,0.43,0.41,0.38,0.43,0.34,0.39,0.33,0.52,0.5,0.45,0.47,0.31
gnome-jabber.csv,0.51,0.63,0.46,0.43,0.34,0.48,0.33,0.43,0.38,0.48,0.49,0.4,0.5,0.33
ivataopenportal.csv,0.46,0.42,0.47,0.41,0.35,0.54,0.44,0.39,0.36,0.51,0.48,0.34,0.4,0.31
mb-unit.csv,0.52,0.83,0.67,0.45,0.38,0.41,0.46,0.44,0.31,0.6,0.53,0.52,0.58,0.33
mvdsv.csv,0.96,0.5,0.0,0.98,0.91,0.5,0.75,0.91,0.86,0.67,0.92,0.86,0.95,0.88
nova.csv,0.66,0.5,0.62,0.51,0.6,0.79,0.4,0.47,0.77,0.4,0.74,0.43,0.62,0.52
olex2.csv,0.51,0.55,0.67,0.52,0.4,0.45,0.71,0.65,0.43,0.43,0.52,0.45,0.95,0.45
openwbem.csv,0.48,0.8,0.78,0.6,0.48,0.52,0.52,0.58,0.46,0.52,0.54,0.46,0.97,0.48
tencompetence.csv,0.99,0.86,0.83,0.65,0.94,0.59,0.73,0.96,0.62,0.97,0.8,0.9,0.7,0.89
xcmetadataservicestoolkit.csv,0.76,0.44,0.71,0.61,0.37,0.47,0.36,0.55,0.41,0.54,0.51,0.44,0.57,0.35
