,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.17,0.48,1.0,0.08,0.65,0.32,0.46,0.14,0.3,1.0,0.3,0.5
miranda-icq.csv,0.1,0.35,0.75,0.0,0.86,0.22,0.5,0.2,0.98,0.99,0.22,0.6
pclasses.csv,1.0,0.58,0.0,1.0,0.0,0.0,0.0,0.25,0.43,1.0,0.53,0.11
pfaedit.csv,0.4,0.53,1.0,0.06,1.0,0.25,0.46,0.12,0.31,1.0,0.31,0.7
rockbox.csv,0.16,0.36,0.66,0.0,0.91,0.12,0.52,0.13,0.28,1.0,0.26,1.0
theresa.csv,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.09,0.37,0.0,0.65,0.94,0.5,0.23,0.29,1.0,0.27,0.2
tktoolkit.csv,0.11,0.25,1.0,0.21,0.43,0.5,0.57,1.0,0.25,0.99,0.24,0.44
trinitycore.csv,0.25,0.2,0.67,0.22,0.67,0.0,0.56,0.23,0.26,1.0,1.0,0.6
tzod.csv,0.47,1.0,0.69,0.0,0.71,0.17,0.55,0.16,0.26,1.0,0.31,0.44
yaprm.csv,0.22,0.31,0.48,0.0,0.73,0.28,0.97,0.11,0.17,0.99,0.23,0.35
