,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.26,0.57,1.0,0.15,0.76,0.4,0.54,0.24,0.44,0.86,0.42,0.64
miranda-icq.csv,0.15,0.3,0.13,0.0,0.6,0.29,0.41,0.29,0.96,0.6,0.25,0.25
pclasses.csv,0.78,0.36,0.0,0.5,0.0,0.0,0.0,0.07,0.1,0.19,0.27,0.11
pfaedit.csv,0.25,0.56,0.39,0.1,0.98,0.1,0.47,0.21,0.37,0.55,0.36,0.48
rockbox.csv,0.2,0.41,0.66,0.0,0.55,0.08,0.47,0.21,0.36,0.47,0.36,1.0
theresa.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.0,0.05,0.23,0.0,0.6,0.91,0.1,0.28,0.23,0.23,0.24,0.14
tktoolkit.csv,0.16,0.21,0.09,0.35,0.35,0.54,0.41,0.95,0.25,0.66,0.24,0.43
trinitycore.csv,0.21,0.06,0.09,0.33,0.62,0.0,0.22,0.17,0.22,0.2,0.96,0.25
tzod.csv,0.54,0.96,0.7,0.0,0.74,0.14,0.5,0.27,0.37,0.75,0.34,0.43
yaprm.csv,0.34,0.32,0.52,0.0,0.63,0.38,0.96,0.19,0.19,0.57,0.31,0.36
