,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.53,0.63,0.5,0.38,0.69,0.81,0.57,0.46,0.45,0.68,0.42,0.52,0.46,0.27,0.41
bl-toolkit.csv,0.92,0.89,0.96,0.96,0.93,0.38,1.0,1.06,1.01,0.97,0.96,0.65,0.82,0.62,0.97
bochs.csv,0.66,0.85,0.99,0.63,0.46,0.83,0.96,0.57,0.53,0.59,0.79,0.61,0.52,0.86,0.56
emeraldemu.csv,0.69,0.71,0.52,0.37,0.51,0.8,0.96,0.46,0.35,0.58,0.68,0.78,0.55,0.83,0.87
fbmanager.csv,0.4,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.77,0.56,1.0,0.81,0.77
modellus.csv,0.86,0.68,0.54,0.59,0.59,0.46,0.47,0.59,0.43,0.58,0.62,0.31,0.46,0.68,0.42
openmalaria.csv,0.51,0.46,0.61,0.76,0.62,0.65,0.43,0.45,0.41,0.57,0.34,0.73,0.61,0.78,0.34
pi-qmc.csv,0.85,0.62,0.75,0.82,0.73,0.79,0.95,0.76,0.64,0.48,0.59,0.48,0.63,0.79,0.3
plplot.csv,0.46,0.56,0.62,0.6,0.52,0.68,0.77,0.58,0.64,0.44,0.45,0.58,0.79,0.84,0.7
powerfolder.csv,0.57,0.69,0.58,0.48,0.78,0.81,0.68,0.42,0.43,0.83,0.49,0.82,0.53,0.09,0.3
psycle.csv,0.49,0.49,0.85,0.65,0.5,0.59,0.61,0.75,0.71,0.58,0.56,0.49,0.81,0.83,0.32
qgis.csv,0.53,0.53,0.45,0.43,0.6,0.82,1.0,0.46,0.4,0.63,0.65,0.7,0.59,0.78,0.49
sbml.csv,0.48,0.53,0.69,0.77,0.48,0.52,0.85,0.36,0.79,0.5,0.69,0.68,0.51,0.88,0.54
unimrcp.csv,0.71,0.47,0.71,0.63,0.75,0.93,0.36,0.62,0.53,0.72,0.65,0.61,0.57,0.88,0.56
wow-qrsk.csv,0.97,0.76,0.58,0.47,0.47,0.48,0.71,0.9,0.29,0.53,0.84,0.57,0.89,0.26,1.0
