,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.35,0.7,0.06,0.13,0.29,0.0,0.0,0.46,0.0,0.01
bibedt.csv,0.54,0.54,0.15,0.45,0.34,0.32,0.41,0.77,0.38,0.72
cascading.csv,0.65,0.66,0.53,0.52,0.15,0.22,0.38,0.44,0.81,0.65
firebreath.csv,0.69,0.26,0.62,0.64,0.0,0.26,0.42,0.69,0.81,0.7
fritzing.csv,0.72,0.59,0.5,0.63,0.29,0.22,0.1,0.74,0.48,0.56
httpcontentparser.csv,0.27,0.0,0.36,0.27,0.2,0.43,0.39,0.59,0.64,0.52
mpgravity.csv,0.65,0.04,0.59,0.57,0.6,0.21,0.33,0.78,0.84,0.78
patterntesting.csv,0.69,0.68,0.56,0.66,0.48,0.2,0.37,0.74,0.87,0.79
roller.csv,0.65,0.46,0.6,0.6,0.32,0.22,0.33,0.78,0.84,0.82
xfce.csv,0.48,0.61,0.54,0.56,0.28,0.24,0.27,0.74,0.78,0.74
