,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.77,0.46,0.97,1.05,0.83,1.0,1.0,1.06,1.0,0.99
bibedt.csv,0.58,0.65,0.92,0.7,0.65,0.5,0.51,0.6,0.77,0.58
cascading.csv,0.61,0.62,0.57,0.63,0.92,0.61,0.57,0.7,0.51,0.55
firebreath.csv,0.64,0.86,0.47,0.47,1.0,0.55,0.53,0.45,0.81,0.49
fritzing.csv,0.4,0.57,0.59,0.46,0.76,0.83,0.93,0.55,0.74,0.6
httpcontentparser.csv,0.84,1.0,0.74,0.83,0.85,0.29,0.55,0.58,0.71,0.64
mpgravity.csv,0.99,0.98,0.78,0.98,0.33,0.83,1.0,0.8,1.0,0.69
patterntesting.csv,0.82,0.82,0.9,0.41,0.59,0.96,0.74,0.98,0.94,0.81
roller.csv,0.63,0.76,0.74,0.51,0.68,0.85,0.86,0.34,0.74,0.99
xfce.csv,0.66,0.81,0.88,1.0,0.96,0.65,0.79,0.75,0.71,0.49
