,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.32,0.1,0.41,0.53,0.35,0.46,0.79,0.86,1.0,0.68,0.85,0.57,0.0
autofac.csv,0.45,0.1,0.72,0.47,0.76,0.68,0.76,0.57,1.0,0.56,0.7,0.34,0.25
coot.csv,0.8,0.0,0.14,0.57,0.88,0.57,0.0,0.71,1.0,0.46,0.7,0.51,0.75
dsworkbench.csv,0.1,0.76,0.34,0.34,0.06,0.3,0.59,0.14,0.0,0.29,0.15,0.29,0.0
emono.csv,0.66,0.22,0.45,0.77,0.88,0.7,0.24,0.57,1.0,0.61,0.78,0.7,0.75
exist.csv,0.62,0.86,1.0,0.65,0.71,0.86,0.8,0.57,0.0,0.51,0.88,0.64,0.5
freelords.csv,0.82,1.0,0.69,0.68,0.76,0.73,0.96,0.43,0.0,0.9,0.92,0.92,1.0
google-collections.csv,0.82,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.98,1.0,1.0,1.0
jchassis.csv,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0
jpaul.csv,0.44,0.82,0.31,0.04,0.94,0.16,0.08,0.43,1.0,0.02,0.02,0.0,0.0
neodatis-odb.csv,0.68,0.38,0.66,0.37,0.47,0.68,0.44,0.29,1.0,0.34,0.7,0.32,0.25
octet.csv,0.19,0.44,0.45,0.33,0.35,0.49,0.73,0.71,0.0,0.34,0.45,0.36,0.25
thedata.csv,0.79,0.54,0.72,0.58,0.65,0.54,0.63,0.57,0.0,0.51,0.8,0.55,1.0
