,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.34,0.12,0.44,0.49,0.39,0.48,0.52,0.54,0.74,0.69,0.7,0.54,0.0
autofac.csv,0.46,0.12,0.74,0.48,0.72,0.51,0.64,0.56,0.64,0.57,0.65,0.39,0.29
coot.csv,0.0,0.0,0.17,0.49,0.39,0.53,0.0,0.28,0.41,0.49,0.71,0.51,0.53
dsworkbench.csv,0.12,0.76,0.39,0.39,0.07,0.34,0.58,0.17,0.0,0.31,0.18,0.33,0.0
emono.csv,0.0,0.25,0.42,0.41,0.34,0.48,0.28,0.16,0.09,0.59,0.67,0.68,0.67
exist.csv,0.59,0.58,0.41,0.61,0.54,0.52,0.78,0.51,0.0,0.53,0.61,0.62,0.51
freelords.csv,0.73,0.54,0.63,0.65,0.74,0.4,0.38,0.46,0.0,0.09,0.47,0.09,0.24
google-collections.csv,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jchassis.csv,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.98,0.0,0.0,0.0,0.0
jpaul.csv,0.45,0.38,0.36,0.05,0.87,0.19,0.1,0.47,0.93,0.02,0.02,0.0,0.0
neodatis-odb.csv,0.0,0.43,0.57,0.4,0.44,0.69,0.46,0.33,0.67,0.38,0.69,0.37,0.29
octet.csv,0.23,0.47,0.48,0.37,0.38,0.53,0.45,0.73,0.0,0.38,0.48,0.39,0.29
thedata.csv,0.0,0.56,0.51,0.46,0.45,0.51,0.57,0.47,0.0,0.54,0.68,0.54,0.99
