,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.11,0.72,0.26,0.53,0.54,0.17,0.5,0.17,0.28,0.42,0.24,0.03,0.96,0.78,0.63
grafx2.csv,0.1,0.78,0.2,0.58,0.84,0.16,0.55,0.25,0.38,0.21,0.46,0.02,0.93,0.82,0.74
keyczar.csv,0.0,0.72,0.43,0.33,0.38,0.18,0.58,0.25,0.16,0.28,0.31,0.0,0.0,0.89,0.67
lmms.csv,0.09,0.76,0.36,0.54,0.67,0.25,0.5,0.18,0.29,0.43,0.32,0.03,0.9,0.82,0.68
lufa-lib.csv,0.1,0.73,0.09,0.62,0.46,0.19,0.49,0.1,0.35,0.62,0.21,0.0,0.86,0.82,0.54
netatalk.csv,0.11,0.71,0.12,0.71,0.7,0.14,0.59,0.1,0.43,0.5,0.45,0.03,0.87,0.8,0.8
openmeetings.csv,0.17,0.82,0.44,0.71,0.85,0.21,0.58,0.38,0.36,0.39,0.33,0.02,0.94,1.0,0.79
openxava.csv,0.12,0.7,0.16,0.77,0.64,0.21,0.57,0.23,0.3,0.33,0.4,0.07,0.72,0.82,0.74
pgui.csv,0.0,1.0,0.18,0.52,0.77,0.0,0.0,1.0,0.5,0.42,0.31,0.0,0.84,0.76,0.57
qpe.csv,0.16,0.69,0.3,0.66,0.73,0.21,0.71,0.19,0.41,0.44,0.31,0.01,0.88,0.72,0.76
quickfast.csv,0.08,0.66,0.16,0.48,0.55,0.19,0.5,0.13,0.26,0.37,0.31,0.03,0.81,0.75,0.8
rsyslog.csv,0.12,0.71,0.24,0.78,0.78,0.16,0.63,0.09,0.37,0.47,0.35,0.03,0.89,0.81,0.75
sylpheed-claws.csv,0.08,0.64,0.14,0.52,0.53,0.18,0.69,0.14,0.32,0.43,0.27,0.02,0.82,0.76,0.59
xqilla.csv,0.08,0.63,0.08,1.0,1.0,0.08,0.76,0.5,0.15,0.26,0.29,0.3,0.85,0.72,0.67
yale.csv,0.07,0.63,0.46,0.52,0.53,0.25,0.31,0.2,0.31,0.42,0.27,0.0,0.8,0.77,0.54
