,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,guineu.csv
baadengine.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,,0.19
elmo.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,,0.18,0.27,0.17,0.19
encog-java.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
google-collections.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,,0.17,0.19
gtad.csv,0.22,,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
guineu.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,
h2database.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,,0.19,0.11,0.18,0.27,0.17,0.19
jahshaka.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
jahshakafx.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
jedit.csv,0.22,0.21,0.15,0.22,0.2,,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
jmoney.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,,0.27,0.17,0.19
ktc.csv,0.22,0.21,0.15,0.22,,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
net-snmp.csv,0.22,0.21,0.15,0.22,0.2,0.16,,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
owlib.csv,0.22,0.21,0.15,,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
paintown.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,,0.19,0.19,0.11,0.18,0.27,0.17,0.19
rhex.csv,0.22,0.21,,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
selenium.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
umber.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,,0.35,0.23,0.18,0.2,0.19,0.19,0.11,0.18,0.27,0.17,0.19
x4x.csv,0.22,0.21,0.15,0.22,0.2,0.16,0.18,0.21,0.22,0.35,0.23,0.18,0.2,0.19,,0.11,0.18,0.27,0.17,0.19
