,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,guineu.csv,,,,
baadengine.csv,0.01,0.03,0.13,0.39,0,0.81,0.48,0.12,0.27,0.48,0.18,0.52,0.48,0,0.78,0.07,0.33,0.98,,0.3,3,,,
elmo.csv,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.4,0,1,,0,1,0,0.33,2,,,
encog-java.csv,0.01,0,0.23,0,0,0,0,,0,0,0.3,0.65,1,0,0.8,0.1,0.4,0,0,0.39,3,,,
google-collections.csv,0.01,0.03,0.13,0.4,0,0.59,0.45,0.11,0.29,0.22,0.18,0.53,0.48,0.24,0.78,0.07,0.33,,0.75,0.31,2,,56,52
gtad.csv,0.01,,0.19,0,0,0,0,0.25,0,0,0.17,0.73,0,0,0.79,0.09,0.53,1,0,0.36,3,,,2.736842105
guineu.csv,0,0.03,0.24,0.4,0.4,0.45,0.45,0.12,0.26,0.3,0.4,0.55,0.48,0.13,0.33,0.12,0.36,0.97,0.75,,2,,,
h2database.csv,0.01,0.03,0.13,0.4,0,0.73,0.51,0.12,0.26,0.48,0.18,0.53,0.48,,0.78,0.07,0.33,0.98,0.8,0.31,4,,,
jahshaka.csv,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.84,0,0.67,0,0,0.67,4,,,
jahshakafx.csv,0.01,0.03,0.13,0.39,0,0.89,0.46,0.12,0.32,,0.18,0.53,0.5,0,0.78,0.07,0.33,0.97,0.82,0.31,4,,,
jedit.csv,0.01,0.03,0.13,0.4,0,,0.45,0.12,0.29,0.45,0.18,0.52,0.48,0.22,0.78,0.07,0.33,0.98,0.79,0.31,3,,,
jmoney.csv,0.01,0,0.25,0,0,0,0,0,0,0,0.27,0.92,0,0,0.77,0.09,,0,0,0.44,2,,,
ktc.csv,0.01,0.03,0.13,0.4,,0.45,0.47,0.12,0.26,0.32,0.18,0.53,0.49,0.13,0.78,0.07,0.33,0.98,0.75,0.31,3,,,
net-snmp.csv,0,0.03,0.14,0.36,0,0.54,,0.12,0.29,0.29,0.19,0.51,0.51,0.25,0.8,0.07,0.33,0.98,0.76,0.3,3,,,
owlib.csv,0.01,0.05,0.14,,0,0.38,0.56,0.17,0.33,0.52,0.2,0.65,0.75,0.33,0.78,0.1,0.4,1,0.85,0.31,5,,,
paintown.csv,0.01,0.03,0.13,0.35,0,0,0,0.07,0.39,0.33,0.18,0.52,,0,0.76,0.09,0.22,0.96,0.75,0.45,3,,,
rhex.csv,0,0,,0,0,0,0,0,0,0,0.25,0.54,0,0,0.78,0,0.83,1,0,0.36,3,,,
selenium.csv,0.01,0,0.14,0,0,0,0,0,0,0,0.18,,1,0,0.78,0.03,0.33,1,0,0.31,3,,,
umber.csv,0.01,0.03,0.13,0.4,0,0,0,0.13,,0,0.18,0.48,0.46,0,0.79,0.07,0.33,0.99,1,0.3,3,,,
x4x.csv,0.01,0,0.15,0,0,0,0,0,0,0,0.19,0,0.5,0,,0.08,0.39,1,0,0.38,1,,,
