,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.75,0.51,0.54,0.62,0.5,0.53
l2j.csv,0.73,0.35,0.31,0.67,0.36,0.81
mule.csv,0.72,0.24,0.32,0.54,0.33,0.42
springside.csv,0.69,0.68,0.32,0.69,0.48,0.56
swtfox.csv,0.25,0.45,0.62,0.19,0.22,0.66
twostep.csv,0.74,0.52,0.42,0.76,0.45,0.65
