,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.3,0.43,0.45,0.49,0.39,0.53,0.51,0.35,0.99,0.53,0.64,0.64,0.39,0.38
cubefs.csv,0.85,0.47,0.62,0.09,0.81,0.42,0.46,0.99,0.26,0.35,0.64,0.17,0.65,0.0
gisgraphy.csv,0.55,0.13,0.21,0.07,0.13,0.42,0.52,0.54,0.13,0.32,0.41,0.39,0.2,0.96
iaml.csv,0.58,0.61,0.53,0.5,0.58,0.56,0.99,0.22,0.58,0.49,0.64,0.65,0.57,0.56
ivatamasks.csv,0.83,0.68,0.64,1.0,0.5,0.66,0.37,0.38,0.48,0.62,0.63,0.63,0.55,0.43
kolmafia.csv,0.81,0.43,0.63,0.58,0.41,0.41,0.33,0.23,0.11,0.42,1.0,0.36,0.17,0.34
ogrehg.csv,0.06,0.45,0.35,0.43,0.41,0.99,0.31,0.2,0.25,0.46,0.41,0.5,0.51,0.54
olex2.csv,0.13,0.41,0.14,0.56,0.46,0.49,0.45,0.52,0.47,0.52,0.64,0.96,0.55,0.31
openwbem.csv,0.44,0.95,0.51,0.57,0.0,0.48,0.61,0.45,0.13,0.51,0.58,0.49,0.36,0.62
oppna-program-hsatools.csv,0.56,0.13,0.27,0.0,1.0,0.36,0.27,0.63,0.3,0.56,0.0,0.44,0.24,0.17
orc.csv,0.58,0.05,0.95,0.05,0.2,0.12,0.31,0.47,0.0,0.21,0.47,0.0,0.04,0.53
ta3d.csv,0.28,0.41,0.13,0.0,0.6,0.57,0.39,0.47,0.29,0.4,0.52,0.44,0.96,0.3
umber.csv,1.0,0.33,0.35,0.66,0.62,0.38,0.3,0.3,0.12,0.35,0.61,0.38,0.38,0.11
xcmetadataservicestoolkit.csv,0.78,0.6,0.59,0.61,0.56,0.45,0.45,0.37,0.38,1.0,0.52,0.48,0.58,0.54
