,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.83,1.0,0.54,1.0,0.55,0.75,0.36,1.0,0.67,0.95,0.91,0.0,0.98
badtrinity-zero.csv,0.08,0.0,0.67,0.0,0.94,1.0,0.09,0.0,0.5,0.8,0.75,1.0,0.84
bibletime.csv,0.69,0.74,0.7,0.69,0.64,0.92,0.73,0.73,0.67,0.7,1.0,0.89,0.21
critterding.csv,0.6,0.59,0.85,0.67,0.85,0.83,1.0,0.58,1.0,0.98,0.8,0.66,0.87
elateportal.csv,0.85,0.88,0.52,0.86,0.81,0.83,0.55,0.88,0.17,0.42,0.98,0.96,0.95
fmri-dmt.csv,0.53,0.53,0.61,0.79,0.19,0.33,0.55,0.48,0.83,0.53,0.68,0.66,0.3
ftm.csv,0.29,0.21,0.23,0.4,0.36,0.33,0.27,0.1,0.17,0.35,0.0,0.45,0.66
gusanos.csv,0.25,0.65,0.51,0.86,1.0,0.5,0.27,0.82,0.67,0.73,0.36,0.0,0.13
monetdb.csv,0.37,0.47,0.33,0.6,0.62,0.58,0.36,0.45,0.17,0.44,0.73,0.43,0.75
quarkplayer.csv,0.42,0.15,0.37,0.33,0.02,0.08,0.82,0.07,0.5,0.26,0.0,0.21,0.07
reactos-mirror.csv,0.63,0.74,0.58,0.81,0.79,0.75,0.91,0.73,0.83,0.82,1.0,1.0,0.13
sandiaportals.csv,0.52,0.65,0.54,0.83,0.68,0.67,0.82,0.75,0.5,0.77,0.05,0.75,0.89
xbplayer.csv,0.32,0.47,0.49,0.76,0.6,0.67,0.27,0.55,0.33,0.53,0.89,0.51,0.44
