,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv
boost-sandbox.csv,0.88,0.38,0.52,0.57,0.44,0.41,0.56,0.48,0.35,0.42,0.62,0.38
bscwweasel.csv,0.5,0.75,0.49,0.67,0.4,0.6,0.55,0.49,0.71,0.44,0.69,0.75
capcode.csv,0.67,0.44,0.49,0.52,0.63,0.57,0.77,0.94,0.38,0.48,0.55,0.44
emite.csv,0.38,0.81,0.55,0.82,0.71,0.82,0.86,0.92,0.8,0.57,0.5,0.48
lamp.csv,0.97,0.67,0.81,0.43,0.41,0.37,0.37,0.73,0.4,0.34,0.32,0.72
mecat.csv,0.9,0.67,0.5,0.89,0.88,0.86,0.0,0.94,0.0,0.92,0.9,0.0
nodal.csv,0.0,0.76,0.61,0.63,0.65,0.92,0.0,0.96,0.64,0.42,0.67,0.91
pydev.csv,0.32,0.61,0.62,0.5,0.36,0.44,0.72,0.45,0.61,0.48,0.39,0.88
retromenu.csv,0.5,0.6,0.93,0.86,0.41,0.6,0.37,0.65,0.5,0.8,0.44,0.92
smbopensoft.csv,0.41,0.39,0.49,0.6,0.45,0.64,0.55,0.64,0.76,0.48,0.68,0.39
stuproa-cims.csv,0.0,0.0,0.57,0.75,0.39,0.91,0.67,0.75,0.68,0.44,0.71,0.83
thout.csv,0.41,0.41,0.56,0.72,0.43,0.37,0.39,0.36,0.33,0.44,0.35,0.38
