,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.63,0.9,0.5,0.63,0.58,0.63,0.52,0.49,0.48,0.75,0.55
gamestone.csv,0.87,0.21,0.88,0.68,0.62,1.0,1.0,0.62,0.88,0.93,1.0
gbif-providertoolkit.csv,0.83,1.09,0.8,0.66,0.52,0.86,0.81,0.49,0.43,0.74,0.74
heekscad.csv,0.39,0.43,0.47,0.57,0.69,0.6,0.66,0.56,0.55,0.63,0.56
igarden.csv,0.5,0.9,0.72,0.46,0.73,0.71,0.84,0.77,0.61,0.88,0.64
levent.csv,0.66,0.88,1.0,1.0,0.66,0.45,0.59,0.96,1.0,1.0,0.54
lportal.csv,0.76,1.0,0.78,1.0,0.93,0.9,1.0,0.6,0.33,0.98,0.82
natpad.csv,0.56,0.77,0.72,0.74,0.7,0.51,0.57,0.44,0.56,0.8,0.39
openmsx.csv,0.68,0.91,0.76,0.79,0.56,0.64,0.83,0.74,1.0,0.57,0.64
owlapi.csv,0.91,1.02,0.75,0.91,0.73,0.58,0.84,0.34,0.87,0.81,0.65
xcsoar.csv,0.41,0.76,0.4,0.58,0.5,0.63,0.68,0.61,0.5,0.72,0.49
