,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,3.0,10.0,1.0,2.0,3.0,0.0,1.0,2.0,58.0,3.0,0.0
gamestone.csv,0.0,0.0,2.0,1.0,1.0,71.0,111.0,15.0,140.0,0.0,106.0
gbif-providertoolkit.csv,4.0,59.0,1.0,3.0,7.0,0.0,1.0,3.0,30.0,2.0,1.0
heekscad.csv,1.0,6.0,0.0,0.0,2.0,0.0,1.0,12.0,31.0,3.0,0.0
igarden.csv,1.0,10.0,1.0,0.0,0.0,0.0,0.0,7.0,86.0,0.0,2.0
levent.csv,2.0,3.0,126.0,102.0,0.0,0.0,1.0,0.0,3583.0,158.0,0.0
lportal.csv,1.0,59.0,0.0,102.0,0.0,1.0,111.0,13.0,16.0,1.0,0.0
natpad.csv,1.0,16.0,0.0,5.0,3.0,0.0,1.0,14.0,7.0,16.0,0.0
openmsx.csv,3.0,8.0,0.0,0.0,2.0,2.0,4.0,33.0,3583.0,1.0,0.0
owlapi.csv,6.0,59.0,1.0,1.0,1.0,0.0,1.0,5.0,16.0,3.0,0.0
xcsoar.csv,0.0,5.0,0.0,3.0,5.0,0.0,1.0,8.0,284.0,5.0,2.0
