,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.41,0.97,0.53,0.54,0.24
bdbbasic.csv,0.37,0.51,0.62,0.96,0.46
empyrean.csv,0.98,0.35,0.42,0.51,0.05
gnome-jabber.csv,0.13,0.09,0.09,0.09,0.88
nutz.csv,0.58,0.45,0.92,0.43,0.0
