,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.6,0.92,0.0,0.47,0.73,0.62,0.99,0.64,0.7,0.81,0.74,0.58,0.45,0.97,0.94,0.61,0.67,0.51,0.0
apolloplayer.csv,0.45,0.55,0.62,0.4,0.47,0.63,0.55,0.83,0.68,0.51,0.51,0.37,0.94,0.53,0.42,0.71,0.54,0.73,0.41
auber.csv,0.62,0.44,0.4,0.44,0.42,0.44,0.57,0.43,0.44,0.49,0.43,0.47,0.44,0.62,0.41,0.42,0.58,0.46,0.45
cortex-vfx.csv,0.59,0.45,0.8,0.63,0.62,0.7,0.81,0.83,0.71,0.56,0.86,0.63,0.52,0.52,0.66,0.44,0.67,0.75,0.7
growl-for-windows.csv,0.0,0.38,0.38,0.0,0.0,0.36,0.67,0.43,0.46,0.45,0.54,0.5,0.36,0.78,0.92,0.88,0.96,0.69,0.83
ifmo-game-1.csv,0.83,0.94,0.0,0.88,0.73,0.84,0.96,0.83,0.9,0.93,0.94,0.66,0.67,0.89,0.98,0.89,0.98,0.6,0.5
ildjit.csv,0.91,0.92,0.42,0.73,0.78,0.68,0.65,0.79,0.68,0.51,0.81,0.93,0.62,0.94,0.46,0.67,0.43,0.5,0.62
jfreereport.csv,0.97,0.75,0.8,0.95,0.73,0.56,0.98,0.59,0.49,0.83,0.75,0.82,0.53,0.94,0.69,0.74,0.94,0.88,0.75
keyczar.csv,0.59,0.0,0.93,0.92,0.0,0.83,0.74,0.93,0.88,0.97,0.8,0.86,0.46,0.97,0.96,0.5,0.5,0.48,0.61
moast.csv,0.94,0.91,0.92,0.4,0.54,0.67,0.57,0.79,0.96,0.91,0.55,0.52,0.43,0.97,0.69,0.44,0.89,0.5,0.42
opde.csv,0.51,0.43,0.59,0.83,0.47,0.49,0.55,0.48,0.46,0.41,0.71,0.43,0.44,0.54,0.35,0.67,0.43,0.44,0.46
openfrag.csv,0.61,0.49,0.52,0.46,0.43,0.56,0.7,0.54,0.5,0.48,0.57,0.4,0.0,0.54,0.43,0.43,0.46,0.81,0.53
passwordsafe.csv,0.63,0.46,0.57,0.46,0.42,0.49,0.69,0.5,0.49,0.49,0.5,0.36,0.86,0.59,0.42,0.4,0.53,0.69,0.55
ppcboot.csv,0.41,0.46,0.42,0.4,0.42,0.47,0.87,0.44,0.45,0.4,0.46,0.34,0.91,0.46,0.32,0.38,0.48,0.6,0.42
quark.csv,0.83,0.85,0.83,0.0,0.99,0.67,0.5,0.86,0.59,0.74,0.8,0.52,0.0,0.75,0.98,0.92,0.92,0.0,0.0
super-tux.csv,0.42,0.6,0.67,0.4,0.5,0.69,0.61,0.53,0.43,0.52,0.46,0.35,0.63,0.47,0.49,0.7,0.46,0.39,0.45
synergyspace.csv,0.98,0.94,0.92,0.63,0.64,0.74,0.74,0.7,0.91,0.8,0.69,0.93,0.94,0.95,0.84,0.46,0.98,0.69,0.51
wikipediardware.csv,0.42,0.46,0.37,0.42,0.42,0.45,0.45,0.46,0.53,0.41,0.45,0.34,0.44,0.44,0.33,0.39,0.43,0.58,0.48
xtreemfs.csv,0.43,0.57,0.93,0.4,0.54,0.58,0.81,0.57,0.43,0.48,0.52,0.38,0.71,0.51,0.38,0.42,0.55,0.58,0.49
