,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.67,0.3,0.45,0.19,0.9,0.19,0.28,0.49,0.54,0.17
autoopencas.csv,0.48,0.36,0.19,0.22,0.5,0.2,0.59,0.2,0.5,0.21
gogoego.csv,0.7,0.63,0.36,0.31,0.53,0.15,0.12,0.46,0.56,0.3
jam-daq.csv,0.8,0.44,0.45,0.15,0.17,0.24,0.08,0.53,0.68,0.14
jhotdraw.csv,0.56,0.43,0.24,0.21,0.53,0.45,0.35,0.33,0.43,0.2
pokeglobal.csv,0.76,0.5,0.33,0.24,0.64,0.18,0.27,0.31,0.48,0.23
robocode.csv,0.63,0.7,0.32,0.38,0.3,0.22,0.27,0.31,0.49,0.38
springside.csv,0.76,0.58,0.26,0.32,0.6,0.21,0.33,0.55,0.51,0.31
trinitycore.csv,0.67,0.42,0.23,0.33,0.0,0.16,0.28,0.5,0.44,0.36
uwom-server.csv,0.67,0.47,0.28,0.34,0.33,0.24,0.24,0.5,0.55,0.34
