,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.1,0.13,0.06,0.5,0.85,0.65,0.59,0.39,0.47,0.42
autoopencas.csv,0.51,0.39,0.25,0.48,0.61,0.34,0.73,0.29,0.07,0.51
gogoego.csv,0.56,0.52,0.49,0.62,0.88,0.65,0.07,0.96,0.49,0.64
jam-daq.csv,0.29,0.17,0.29,0.11,0.03,0.52,0.02,0.18,0.71,0.09
jhotdraw.csv,0.88,0.43,0.89,0.43,1.0,0.55,0.91,0.88,0.29,0.42
pokeglobal.csv,0.71,0.57,0.7,0.89,0.91,0.94,1.0,0.39,0.69,0.87
robocode.csv,0.54,0.7,0.73,0.62,0.21,0.48,0.45,0.45,0.89,0.62
springside.csv,0.46,0.65,0.9,0.79,0.85,0.84,0.73,0.8,0.53,0.78
trinitycore.csv,0.15,0.35,0.22,0.48,0.0,0.32,0.32,0.18,0.27,0.58
uwom-server.csv,0.15,0.35,0.23,0.61,0.03,0.39,0.36,0.18,0.47,0.62
