,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.0,0.0,3.0,14.0,1.0,0.0,11.0,7.0,6.0,14.0
autoopencas.csv,4.0,1.0,5.0,12.0,9.0,0.0,4.0,0.0,2.0,14.0
gogoego.csv,0.0,2.0,0.0,3.0,6.0,0.0,3.0,0.0,1.0,3.0
jam-daq.csv,3.0,2.0,0.0,9.0,4.0,0.0,4.0,4.0,0.0,10.0
jhotdraw.csv,4.0,1.0,4.0,13.0,10.0,3.0,10.0,0.0,5.0,13.0
pokeglobal.csv,1.0,2.0,9.0,14.0,5.0,0.0,11.0,25.0,4.0,14.0
robocode.csv,2.0,0.0,0.0,2.0,1.0,0.0,2.0,37.0,1.0,2.0
springside.csv,0.0,1.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
trinitycore.csv,0.0,0.0,7.0,5.0,67.0,19.0,4.0,1.0,0.0,3.0
uwom-server.csv,3.0,0.0,0.0,3.0,1.0,5.0,4.0,2.0,2.0,3.0
