,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.91,0.9,0.94,0.87,0.17,0.72,0.67,0.65,0.63,0.89
autoopencas.csv,0.93,0.83,0.82,0.77,0.69,0.73,0.33,0.92,0.93,0.79
gogoego.csv,0.56,0.54,0.58,0.59,0.75,0.9,0.95,0.57,0.6,0.6
jam-daq.csv,0.71,0.85,0.72,0.91,0.98,0.6,0.98,0.82,0.4,0.93
jhotdraw.csv,0.97,0.73,0.93,0.77,0.83,0.48,0.61,0.92,0.78,0.8
pokeglobal.csv,0.43,0.64,0.56,0.95,0.49,0.95,0.97,0.76,0.69,0.94
robocode.csv,0.64,0.39,0.58,0.5,0.91,0.64,0.71,0.76,0.79,0.51
springside.csv,0.58,0.52,0.87,0.59,0.56,0.74,0.59,0.39,0.63,0.6
trinitycore.csv,0.86,0.76,0.82,0.61,1.01,0.78,0.74,0.82,0.78,0.54
uwom-server.csv,0.86,0.73,0.79,0.55,0.97,0.67,0.76,0.82,0.62,0.54
