,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.5,0.83,0.06,0.2,0.55,0.72,0.49,0.25,0.21,0.42,0.32
libtorrent.csv,0.81,0.44,0.13,0.44,0.83,0.81,0.65,0.28,0.38,0.9,0.56
mcmc-jags.csv,0.7,0.5,0.09,0.76,0.8,0.81,0.73,0.36,0.26,0.89,0.63
natpad.csv,0.61,0.57,0.09,0.44,0.78,0.74,0.69,0.34,0.34,0.88,0.65
nebuladevice.csv,0.69,0.17,0.0,0.33,0.04,0.48,0.49,0.16,0.45,0.85,0.04
olap-navigator.csv,0.88,0.46,0.22,0.53,0.64,0.5,0.48,0.3,0.43,0.88,0.24
pidgin.csv,0.63,0.43,0.12,0.45,0.8,0.59,0.68,0.33,0.36,0.88,0.67
salasaga.csv,0.38,0.63,0.08,0.34,0.79,0.73,0.69,0.46,0.19,0.6,0.57
sepgsql.csv,0.68,0.43,0.2,0.36,0.73,0.47,0.6,0.33,0.11,0.85,0.54
xstore.csv,0.57,0.42,0.09,0.42,0.85,0.46,0.7,0.35,0.26,0.92,0.62
xtreemfs.csv,0.67,0.47,0.19,0.37,0.7,0.57,0.6,0.37,0.11,0.87,0.56
