,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,99.0,574.0,974.0,99.0,467.5,196.0,1821.0,293.5,93.5,66.5,98.5,98.5,98.5,610.5
crisscross.csv,198.0,1824.0,304.0,99.0,659.5,99.0,2947.0,292.5,194.0,294.5,97.5,98.5,99.0,782.5
gisgraphy.csv,197.0,204.0,98.5,99.0,921.5,92.5,677.0,195.0,77.5,184.0,98.5,98.5,77.5,158.0
glelite.csv,198.0,1833.5,98.5,99.0,659.5,99.0,2843.5,293.5,194.0,294.5,99.0,98.5,99.0,1235.0
gnome-jabber.csv,198.0,1157.0,98.5,99.0,659.5,99.0,2201.0,293.5,177.0,196.0,99.0,98.5,99.0,1039.0
ivataopenportal.csv,198.0,1824.0,98.5,99.0,659.5,99.0,2090.0,293.5,194.0,196.0,99.0,98.5,98.5,1073.0
mb-unit.csv,198.0,229.5,177.0,297.0,566.0,99.0,1957.5,195.0,194.0,294.5,99.0,98.5,99.0,1235.0
mvdsv.csv,178.0,1162.5,0.0,98.5,273.5,63.0,94.0,168.0,86.5,66.5,98.5,93.5,78.5,74.5
nova.csv,99.0,157.0,381.5,198.0,1568.0,288.5,2149.5,195.0,185.0,194.0,97.5,98.5,98.5,533.0
olex2.csv,198.0,298.0,789.5,99.0,1480.5,99.0,546.5,96.5,191.0,97.5,99.0,98.5,99.0,959.5
openwbem.csv,98.5,115.0,214.5,297.0,1103.0,99.0,828.0,293.5,190.0,95.5,98.5,98.5,296.5,252.5
tencompetence.csv,99.0,406.0,1202.5,198.0,981.0,99.0,1633.5,95.5,92.5,290.5,99.0,98.5,99.0,516.0
xcmetadataservicestoolkit.csv,99.0,1824.0,1080.0,99.0,566.0,99.0,2932.0,95.5,194.0,294.5,99.0,98.5,99.0,1155.5
