,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.41,0.2,0.42,0.86,0.6,0.78,0.4,0.65,0.88,0.16,1.0,0.62,0.89,0.47
carabiner.csv,0.28,0.23,0.52,0.86,1.0,0.25,0.4,0.64,1.0,0.37,0.73,0.19,0.56,0.31
elvishrayrenderer.csv,0.89,0.03,0.84,0.2,0.4,0.12,1.0,0.12,0.0,0.74,0.08,0.69,0.33,0.09
fleet-simulator.csv,0.98,0.54,0.97,0.73,0.87,0.75,1.0,0.71,0.0,1.0,0.59,0.94,0.61,0.44
gmerlin.csv,0.0,0.74,1.0,0.91,0.87,0.98,0.4,0.29,1.0,0.53,0.92,0.62,0.83,0.91
gnome-jabber.csv,0.62,0.69,0.84,0.64,0.6,0.33,0.2,0.74,0.62,0.79,0.72,0.38,0.72,0.59
ipfilter.csv,0.64,0.43,0.52,0.75,0.53,0.71,1.0,0.38,0.12,0.11,0.88,0.69,0.89,0.5
irplus.csv,0.24,0.14,0.52,0.3,0.13,0.08,0.0,0.47,0.0,0.47,0.31,0.38,0.5,0.25
mevenide.csv,0.04,0.0,0.06,0.05,0.13,0.04,0.0,0.03,0.0,0.0,0.12,0.06,0.17,0.06
moving-pictures.csv,0.1,0.2,0.23,0.52,0.93,0.1,0.4,0.2,0.88,0.32,0.35,0.44,0.5,0.22
opensim4opencog.csv,0.25,0.29,0.35,0.41,0.6,0.25,0.2,0.61,0.0,0.53,0.88,0.44,0.39,0.25
rockbox.csv,0.02,0.17,0.16,0.23,0.07,0.39,0.0,0.41,0.62,0.11,0.32,0.06,0.22,0.25
ta3d.csv,0.02,0.0,0.06,0.2,0.0,0.49,0.0,0.0,0.88,0.0,0.26,0.5,0.06,0.0
xcmetadataservicestoolkit.csv,0.36,0.0,0.19,0.27,0.33,0.45,1.0,0.64,0.12,0.05,0.81,1.0,0.56,0.06
