,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.34,0.61,0.18,0.63,0.52,0.42,0.22,0.26,0.55,0.48,0.55,0.45,0.41
cuberok.csv,0.07,0.57,0.08,0.09,0.6,0.47,0.41,0.31,0.68,0.45,0.62,0.3,0.49
exist.csv,0.41,0.74,0.09,0.6,0.53,0.68,0.51,0.29,0.78,0.65,0.69,0.27,0.62
google-web-toolkit.csv,0.42,0.79,0.15,0.31,0.37,0.52,0.25,0.37,0.68,0.43,0.71,0.2,0.49
gwanted.csv,0.43,0.56,0.16,0.59,0.5,0.39,0.38,0.5,0.55,0.37,0.67,0.23,0.61
ivatamasks.csv,0.42,0.8,0.17,0.53,0.58,0.66,0.41,0.36,0.72,0.69,0.65,0.25,0.63
ivataopenportal.csv,0.4,0.75,0.12,0.6,0.56,0.73,0.46,0.28,0.77,0.72,0.71,0.25,0.54
jaxen.csv,0.42,0.46,0.53,0.7,0.51,0.63,0.42,0.32,0.67,0.68,0.66,0.21,0.47
rockbox.csv,0.73,0.48,0.36,0.55,0.49,0.27,0.3,0.29,0.49,0.46,0.54,0.34,0.7
rodin-b-sharp.csv,0.65,0.44,0.0,0.65,0.38,0.23,0.79,0.25,0.51,0.48,0.36,0.24,0.22
tcl.csv,0.29,0.76,0.15,0.7,0.42,0.68,0.52,0.29,0.29,0.42,0.37,0.18,0.26
umber.csv,0.83,0.85,0.13,0.64,0.48,0.51,0.56,0.25,0.73,0.69,0.67,0.24,0.57
wheat.csv,0.35,0.55,0.04,0.0,0.47,0.5,0.45,0.13,0.73,0.69,0.56,0.26,0.7
