,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.52,0.4,0.0,0.55,0.78,0.33,0.0,0.53,1.0,0.64,1.0,0.0,0.04,1.0,0.46,0.73,0.5,1.0,0.0,0.38
badtrinity-zero.csv,0.44,0.6,0.29,0.97,0.64,0.36,0.19,0.46,0.91,0.46,0.09,0.54,0.05,0.87,0.58,0.68,0.47,1.0,0.05,0.59
boost.csv,0.46,0.52,0.25,0.58,0.71,0.3,0.22,0.46,0.89,0.48,0.09,0.99,0.06,0.72,0.49,0.71,0.44,0.79,0.11,0.55
critterding.csv,0.46,1.0,0.32,0.55,0.62,0.34,0.32,0.47,0.92,0.34,0.06,0.34,0.08,0.76,0.55,0.76,0.43,0.91,0.07,0.36
enzo.csv,0.45,0.47,0.28,0.53,0.7,0.39,0.22,0.41,0.84,0.35,0.09,0.39,0.06,0.74,0.45,0.74,0.41,0.98,0.09,0.42
etics.csv,0.41,0.5,1.0,0.5,0.68,0.34,0.15,0.43,0.92,0.36,0.07,0.3,0.06,0.68,0.45,0.64,0.19,0.81,0.12,0.31
fmri-dmt.csv,0.36,0.0,0.0,0.55,0.72,0.55,0.0,0.46,1.0,0.36,0.15,0.52,0.09,1.0,0.29,0.55,0.5,0.83,1.0,0.27
genecys.csv,0.45,0.45,0.28,0.54,0.7,0.38,0.19,0.41,0.98,0.41,0.07,0.38,0.05,0.76,0.48,0.67,0.32,0.8,0.07,0.39
gusanos.csv,0.41,0.47,0.33,0.56,0.73,0.35,0.22,0.45,0.88,0.35,0.1,0.44,0.07,1.0,0.39,0.64,0.43,0.89,0.08,0.45
kftpgrabber.csv,0.4,0.51,0.26,0.5,0.62,0.32,0.32,0.38,0.89,0.5,0.16,0.44,0.05,0.65,0.53,0.86,1.0,0.96,0.09,0.34
kvs.csv,0.35,0.5,0.67,0.4,0.69,0.41,1.0,0.36,1.0,0.38,0.02,0.35,0.1,0.58,0.44,0.92,0.56,0.88,0.07,0.56
mcore3d.csv,0.42,0.45,0.18,0.52,1.0,0.38,0.31,0.42,0.88,0.3,0.09,0.4,0.07,0.77,0.43,0.65,0.45,0.92,0.09,0.48
modplug.csv,0.44,0.47,0.27,0.57,0.7,0.36,0.28,0.47,0.91,0.35,0.08,0.42,0.07,0.73,0.47,0.98,0.38,0.79,0.06,0.51
monetdb.csv,0.41,0.52,0.38,0.68,0.66,0.36,0.25,0.4,0.98,1.0,0.07,0.49,0.02,0.77,0.52,0.78,0.43,0.68,0.05,0.37
ogrehg.csv,0.41,0.5,0.7,0.67,0.76,0.49,0.11,0.99,0.89,0.54,0.07,0.57,0.09,0.77,0.6,0.65,0.53,0.9,0.19,0.52
passwordsafe.csv,0.41,0.52,0.21,0.7,0.7,0.45,0.19,0.54,0.84,0.52,0.13,0.49,0.06,0.86,0.58,0.93,0.49,0.97,0.11,1.0
projecteqemu.csv,0.48,0.62,0.62,0.74,0.77,0.42,0.22,0.62,0.89,0.52,0.11,0.57,0.11,0.84,0.97,0.95,0.58,0.78,0.11,0.66
quarkplayer.csv,0.53,0.29,0.14,0.85,0.71,0.32,0.14,0.43,0.33,0.71,0.06,0.5,1.0,0.45,0.67,0.89,1.0,0.61,0.0,0.59
reactos-mirror.csv,0.99,0.57,0.25,0.53,0.72,0.31,0.2,0.41,0.92,0.34,0.08,0.35,0.09,0.69,0.52,0.76,0.42,0.91,0.08,0.4
xbplayer.csv,0.49,0.67,0.56,0.67,0.77,1.0,0.0,0.58,0.9,0.8,0.2,0.45,0.05,0.8,0.64,0.85,0.65,0.83,0.13,0.64
