,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.89,0.94,1.0,0.87,0.89,0.69,1.0,0.83,0.92,0.85,0.08,1.0,0.92,0.96,0.75,0.86,0.81,0.96,1.0,0.9
badtrinity-zero.csv,0.85,0.49,0.62,0.04,0.77,0.74,0.77,0.62,0.57,0.5,0.65,0.73,0.81,0.41,0.51,0.77,0.48,0.74,0.9,0.56
boost.csv,0.67,0.64,0.69,0.65,0.68,0.77,0.73,0.6,0.69,0.48,0.67,0.05,0.77,0.68,0.74,0.69,0.55,0.93,0.72,0.54
critterding.csv,0.9,0.03,0.55,0.64,0.8,0.72,0.68,0.63,0.49,0.81,0.83,0.76,0.6,0.65,0.56,0.62,0.54,0.8,0.82,0.7
enzo.csv,0.69,0.78,0.74,0.74,0.72,0.67,0.87,0.74,1.03,0.82,0.76,0.77,0.81,0.73,0.77,0.76,0.68,0.08,0.97,0.66
etics.csv,0.71,0.73,0.08,0.74,0.74,0.7,0.91,0.73,0.68,0.67,0.77,0.83,0.74,0.75,0.71,0.84,0.9,0.89,0.7,0.8
fmri-dmt.csv,0.85,1.0,1.0,0.87,0.86,0.86,1.0,0.85,0.98,0.9,0.84,0.89,0.83,0.97,0.92,0.88,0.93,0.91,0.33,0.91
genecys.csv,0.69,0.76,0.68,0.65,0.77,0.6,0.83,0.86,0.11,0.59,0.96,0.94,0.95,0.6,0.7,0.9,0.95,0.96,0.93,0.7
gusanos.csv,0.75,0.76,0.53,0.6,0.61,0.72,0.82,0.61,0.7,0.67,0.63,0.61,0.71,0.01,0.78,0.86,0.63,0.52,0.74,0.56
kftpgrabber.csv,0.85,0.63,0.67,0.79,0.79,0.85,0.6,0.74,0.67,0.79,0.76,0.69,0.82,0.87,0.64,0.59,0.03,0.78,0.72,0.79
kvs.csv,0.82,0.64,0.69,0.84,0.93,0.6,0.05,0.86,0.9,0.82,0.96,0.82,0.75,0.92,0.72,0.78,0.68,0.67,0.86,0.76
mcore3d.csv,0.8,0.71,0.89,0.67,0.01,0.61,0.51,0.66,0.89,0.84,0.66,0.73,0.68,0.56,0.73,0.92,0.51,0.33,0.87,0.52
modplug.csv,0.74,0.78,0.73,0.59,0.71,0.72,0.66,0.6,0.57,0.83,0.84,0.63,0.76,0.74,0.81,0.04,0.68,0.9,0.88,0.48
monetdb.csv,0.7,0.63,0.59,0.6,0.77,0.66,0.78,0.73,0.37,0.0,0.77,0.73,0.97,0.66,0.59,0.59,0.55,0.94,0.88,0.71
ogrehg.csv,0.77,0.79,0.47,0.59,0.7,0.47,0.92,0.02,0.66,0.47,0.74,0.65,0.64,0.77,0.48,0.78,0.5,0.47,0.54,0.64
passwordsafe.csv,0.72,0.67,0.81,0.59,0.72,0.49,0.8,0.56,0.87,0.52,0.51,0.74,0.73,0.56,0.5,0.55,0.48,0.72,0.72,0.02
projecteqemu.csv,0.71,0.72,0.62,0.64,0.63,0.63,0.9,0.64,0.63,0.52,0.7,0.74,0.67,0.77,0.06,0.66,0.45,0.81,0.71,0.58
quarkplayer.csv,0.83,0.95,0.89,0.86,0.91,0.78,0.95,0.87,1.01,0.64,0.92,0.98,0.0,0.95,0.68,0.71,0.97,0.94,1.0,0.83
reactos-mirror.csv,0.03,0.54,0.93,0.69,0.65,0.73,0.81,0.71,0.51,0.67,0.69,0.95,0.66,0.83,0.68,0.62,0.62,0.63,0.84,0.68
xbplayer.csv,0.69,0.66,0.62,0.76,0.81,0.02,1.0,0.67,0.73,0.83,0.75,0.74,0.86,0.67,0.64,0.7,0.46,0.95,0.7,0.76
