,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.54,0.34,0.19,0.07,0.11,0.18,0.79,0.55,1.0,0.42,0.47,0.18,0.77,0.56,0.69,0.44,0.53
amygdala.csv,0.69,0.04,0.31,0.29,0.05,0.22,0.46,0.64,0.17,0.83,0.47,0.74,0.22,0.43,0.69,0.42,0.0
awemud.csv,0.73,0.78,0.31,0.49,0.66,0.09,0.75,0.55,0.33,0.0,0.65,0.68,0.1,0.55,0.73,0.36,0.43
bullet.csv,0.6,0.59,0.5,0.62,0.26,0.76,0.54,0.27,0.33,0.0,0.24,0.82,0.81,0.23,0.23,0.39,0.55
customwars.csv,0.56,0.48,0.19,0.13,0.34,0.54,0.67,0.36,1.0,0.42,0.41,0.34,0.81,0.6,0.65,0.28,0.76
dvd-create.csv,0.56,0.81,0.44,0.47,0.8,0.64,0.92,0.82,0.67,0.25,0.88,0.68,0.44,0.88,0.73,0.5,0.67
gbif-indexingtoolkit.csv,0.85,0.34,0.5,0.89,0.66,0.42,0.48,0.64,0.5,0.0,0.71,0.71,0.76,0.33,0.65,0.72,0.73
go.csv,0.76,0.73,0.5,0.4,0.35,0.61,0.85,0.55,0.83,0.08,0.88,0.76,0.83,0.77,0.73,0.72,0.67
growl-for-windows.csv,0.74,0.0,0.38,0.0,0.08,0.04,0.85,0.91,0.0,0.0,1.0,0.87,0.0,0.44,0.38,0.72,0.22
kwave.csv,0.77,0.94,0.56,0.58,0.85,0.6,0.9,0.82,0.67,0.0,0.82,0.66,0.93,0.84,0.77,0.64,0.82
libarchive.csv,0.83,0.95,0.31,0.51,0.32,0.87,1.0,1.0,1.0,0.0,1.0,0.71,0.9,0.84,0.81,0.92,0.63
linux-ntfs.csv,0.64,0.62,0.56,0.69,0.77,0.73,0.42,0.55,0.17,0.58,0.76,0.63,0.9,0.65,0.69,0.56,0.59
lsb.csv,0.68,0.59,0.62,0.69,0.93,0.64,0.4,0.36,0.83,0.0,0.94,0.71,0.55,0.49,0.69,0.72,0.61
mpgravity.csv,0.94,0.72,0.5,0.82,0.81,0.81,1.0,1.0,0.0,0.83,1.0,1.0,0.0,0.97,0.92,0.92,0.96
qcad2.csv,0.58,0.41,0.25,0.53,0.41,0.39,0.79,0.64,1.0,0.42,0.88,0.24,0.63,0.59,0.73,0.61,0.78
qtwin.csv,0.08,0.0,0.0,0.0,0.0,0.04,0.08,0.45,1.0,0.17,0.29,0.08,0.14,0.41,0.35,0.06,0.0
roller.csv,0.81,0.97,0.69,0.96,0.92,0.78,0.9,0.82,0.33,0.33,0.94,0.66,0.95,0.75,0.81,0.97,1.0
