,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,2.0,20.0,4.0,3.0,5.0,5.0,0.0,1.0,6.0,7.0,0.0,0.0,1.0,4.0,15.0,0.0,9.0,3.0
decidr.csv,2.0,5.0,2.0,1.0,37.0,3.0,2.0,1.0,8.0,15.0,1.0,0.0,0.0,2.0,54.0,0.0,6.0,1.0
elmo.csv,9.0,5.0,0.0,3.0,3.0,4.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,52.0,9.0,2.0,5.0,0.0
gpac.csv,5.0,12.0,1.0,2.0,0.0,2.0,0.0,3.0,6.0,5.0,0.0,0.0,3.0,4.0,9.0,5.0,10.0,3.0
illumination.csv,284.0,8.0,3.0,1.0,26.0,95.0,0.0,1.0,360.0,12.0,3.0,102.0,232.0,3.0,47.0,0.0,1.0,337.0
img-browse-sort.csv,2.0,6.0,4.0,3.0,3.0,7.0,0.0,3.0,2.0,3.0,6.0,0.0,1.0,6.0,8.0,1.0,8.0,1.0
jajuk.csv,5.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,2.0,3.0,8.0,4.0,1.0,3.0
ktc.csv,5.0,9.0,2.0,4.0,1.0,5.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,3.0,3.0,2.0,15.0,0.0
miranda.csv,6.0,71.0,2.0,3.0,1.0,95.0,1.0,2.0,9.0,1.0,1.0,0.0,3.0,0.0,42.0,50.0,3.0,1.0
neoengine.csv,3.0,8.0,0.0,1.0,7.0,4.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0,48.0,0.0,12.0,3.0
nicepress.csv,4.0,4.0,2.0,7.0,17.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,24.0,0.0,6.0,2.0
omseek.csv,6.0,71.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0
rosegarden.csv,10.0,10.0,6.0,5.0,11.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,43.0,0.0,2.0,1.0
smarttag.csv,5.0,16.0,2.0,19.0,3.0,8.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,15.0,4.0,5.0,0.0
sylpheed-claws.csv,8.0,8.0,3.0,0.0,22.0,4.0,2.0,2.0,7.0,16.0,3.0,0.0,1.0,2.0,96.0,6.0,7.0,1.0
vapor.csv,284.0,8.0,1.0,5.0,27.0,1.0,0.0,1.0,360.0,16.0,3.0,102.0,232.0,4.0,50.0,0.0,7.0,337.0
zorannt.csv,3.0,11.0,0.0,1.0,1.0,3.0,3.0,1.0,13.0,2.0,0.0,0.0,0.0,3.0,17.0,4.0,3.0,5.0
zscreen.csv,5.0,1.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,23.0,5.0,7.0,2.0
