,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.83,0.9,0.91,0.64,0.74,0.56,0.73,0.74,0.64,0.69
autoopencas.csv,0.6,0.77,0.74,0.7,0.68,0.93,0.78,0.82,0.83,0.65
gogoego.csv,0.45,0.73,0.59,0.54,0.45,0.4,0.9,0.43,0.59,0.55
jam-daq.csv,0.67,0.78,0.85,0.7,0.64,0.56,0.77,0.94,0.42,0.73
jhotdraw.csv,0.43,0.79,0.39,0.77,0.47,0.87,0.58,0.5,0.84,0.75
pokeglobal.csv,0.42,0.39,0.45,0.44,0.48,0.36,0.4,0.61,0.37,0.45
robocode.csv,0.39,0.4,0.42,0.45,0.41,0.44,0.35,0.66,0.38,0.45
springside.csv,0.52,0.83,0.46,0.52,0.53,0.39,0.39,0.45,0.88,0.52
trinitycore.csv,0.83,0.86,0.82,0.57,0.5,0.92,0.52,0.87,0.73,0.54
uwom-server.csv,0.57,0.67,0.76,0.54,0.5,0.92,0.54,0.79,0.61,0.54
