,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.67,0.3,0.45,0.18,0.9,0.19,0.28,0.47,0.54,0.18
autoopencas.csv,0.47,0.38,0.18,0.23,0.49,0.22,0.58,0.19,0.5,0.22
gogoego.csv,0.73,0.73,0.38,0.36,0.57,0.13,0.0,0.49,0.56,0.37
jam-daq.csv,0.72,0.56,0.47,0.38,0.36,0.23,0.06,0.61,0.69,0.41
jhotdraw.csv,0.57,0.36,0.24,0.21,0.53,0.46,0.33,0.31,0.48,0.19
pokeglobal.csv,0.82,0.53,0.3,0.25,0.56,0.18,0.28,0.31,0.51,0.24
robocode.csv,0.64,0.64,0.29,0.36,0.31,0.22,0.28,0.29,0.47,0.35
springside.csv,0.81,0.33,0.24,0.28,0.33,0.21,0.33,0.58,0.65,0.27
trinitycore.csv,0.33,0.29,0.21,0.38,0.0,0.14,0.3,0.33,0.47,0.37
uwom-server.csv,0.48,0.38,0.23,0.34,0.0,0.23,0.27,0.36,0.61,0.33
