,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.35,0.5,0.19,0.36,0.78,0.25,0.8,0.53,0.05,0.88,0.52,0.78,0.0,0.21
calcubetimer.csv,0.7,0.38,0.89,1.0,0.89,0.0,0.86,0.1,0.35,0.0,0.38,0.26,0.22,0.99
chaosrts.csv,0.2,0.31,0.41,0.18,0.56,0.25,0.45,0.14,0.45,0.38,0.22,0.78,0.05,0.64
chaperon.csv,0.5,0.12,0.67,0.18,0.67,1.0,0.32,0.01,0.7,0.75,0.15,0.15,0.24,0.55
dxengine.csv,0.35,0.31,0.7,0.77,0.0,0.75,0.29,0.52,0.3,0.12,0.68,0.26,0.93,0.29
emono.csv,0.25,0.94,0.44,0.55,0.72,0.75,0.84,0.74,0.75,0.88,0.72,0.8,0.85,0.76
factor.csv,0.05,0.75,0.22,0.14,0.11,0.0,0.79,0.0,0.25,0.0,0.15,0.0,0.88,0.06
jas.csv,0.25,0.31,0.93,0.77,0.5,0.75,0.23,0.23,0.5,1.0,0.35,0.24,0.98,0.48
jmoney.csv,0.9,0.44,0.85,0.73,0.44,0.5,0.43,0.19,0.45,0.12,0.12,0.47,0.24,0.6
jmonkeyengine.csv,0.4,0.75,0.89,0.91,0.61,0.75,0.18,0.48,0.7,0.62,0.98,0.72,0.98,0.84
matrex.csv,0.7,0.31,0.3,0.68,0.06,0.25,0.27,0.82,0.15,0.38,0.05,0.53,0.34,0.18
primefaces.csv,0.95,0.81,1.0,0.91,1.0,0.75,0.82,0.93,0.75,0.62,0.8,0.99,0.93,1.0
roolo.csv,0.5,0.81,0.59,0.5,0.72,1.0,0.66,0.71,0.75,1.0,0.78,0.88,0.27,0.7
sblim.csv,0.9,0.31,0.96,0.86,0.28,0.75,0.14,0.42,0.25,0.0,0.48,0.24,0.07,0.95
