,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.62,0.81,0.96,0.54,0.39,0.62,0.51,0.48,0.65,0.44,0.41,0.48,0.0,0.97
calcubetimer.csv,0.36,0.44,0.44,0.43,0.34,0.67,0.44,0.92,0.36,0.88,0.41,0.59,0.72,0.43
chaosrts.csv,0.67,0.57,0.59,0.71,0.4,0.48,0.44,0.92,0.52,0.48,0.91,0.47,0.88,0.53
chaperon.csv,0.52,0.8,0.59,0.76,0.5,0.89,0.76,0.0,0.54,0.5,0.91,0.96,0.84,0.67
dxengine.csv,0.87,0.74,0.44,0.65,0.0,0.57,0.95,0.59,0.75,0.74,0.43,0.98,0.5,0.58
emono.csv,0.83,0.43,0.56,0.5,0.47,0.82,0.5,0.42,0.59,0.5,0.36,0.47,0.44,0.53
factor.csv,0.67,0.47,0.87,0.87,0.67,0.5,0.51,0.89,0.52,0.75,0.89,0.0,0.55,0.83
jas.csv,0.62,0.6,0.4,0.59,0.65,0.45,0.82,0.72,0.64,0.83,0.75,0.81,0.46,0.51
jmoney.csv,0.4,0.41,0.36,0.45,0.48,0.5,0.38,0.94,0.42,0.6,0.83,0.41,0.47,0.44
jmonkeyengine.csv,0.51,0.46,0.42,0.52,0.54,0.45,0.92,0.49,0.51,0.46,0.37,0.53,0.43,0.45
matrex.csv,0.48,0.88,0.89,0.53,0.88,0.5,0.6,0.45,0.8,0.92,0.5,0.41,0.55,0.78
primefaces.csv,0.31,0.4,0.41,0.42,0.38,0.39,0.43,0.32,0.41,0.4,0.44,0.38,0.42,0.43
roolo.csv,0.5,0.43,0.47,0.54,0.48,0.47,0.62,0.43,0.76,0.44,0.31,0.43,0.52,0.54
sblim.csv,0.33,0.52,0.4,0.55,0.77,0.43,0.88,0.74,0.43,0.82,0.52,0.63,0.9,0.43
