,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.79,0.26,0.76,0.5,0.5,0.58,0.55,0.0,0.64,0.49,0.63,0.33,0.56,0.56,0.47,0.52
elateportal.csv,0.71,0.43,0.0,0.37,0.5,0.32,0.43,0.46,0.15,0.48,0.17,0.0,0.0,0.44,0.2,0.44
gmerlin.csv,0.29,0.17,0.37,0.03,0.5,0.24,0.15,0.23,0.0,0.09,0.13,0.5,0.11,0.0,0.13,0.11
gretl.csv,0.75,0.52,0.17,0.03,0.0,0.47,0.47,0.69,0.58,0.72,0.5,0.5,0.61,0.44,0.37,0.88
illumination.csv,0.25,0.35,0.49,0.7,1.0,0.55,0.48,0.38,0.35,0.0,0.25,0.17,0.33,0.78,0.56,0.48
mpgravity.csv,0.58,0.43,0.0,0.3,0.5,0.45,0.16,0.46,0.3,0.28,0.3,0.0,0.17,0.44,0.31,0.28
nativeclient.csv,0.58,0.22,0.34,0.37,0.5,0.53,0.32,0.35,0.35,0.62,0.52,0.17,0.22,0.89,0.01,0.44
natpad.csv,0.71,0.65,0.1,0.53,0.5,0.82,0.61,0.38,0.59,0.49,0.45,0.17,0.5,0.56,0.28,0.02
ogre.csv,0.96,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0
open-ms.csv,0.29,0.22,0.49,0.63,1.0,0.18,0.4,0.38,0.24,0.15,0.0,0.83,0.44,0.44,0.26,0.39
openmsx.csv,0.71,0.7,0.66,0.83,0.5,0.76,0.01,0.46,0.55,0.51,0.54,0.83,0.83,0.89,0.7,0.8
oppna-program-hsatools.csv,0.25,0.0,0.59,0.63,1.0,0.66,0.52,0.92,0.58,0.91,0.99,1.0,0.5,0.44,0.87,1.0
sandiaportals.csv,0.83,0.26,0.2,0.4,0.5,0.5,0.67,0.46,0.62,0.71,0.67,0.5,0.0,0.33,0.33,0.69
sauerbraten.csv,0.0,0.04,0.46,1.0,0.5,0.13,0.15,0.12,0.89,0.26,0.24,0.17,1.0,1.0,0.06,1.0
yarp.csv,0.38,0.3,0.07,0.07,0.5,0.03,0.31,0.23,0.27,0.14,0.2,0.0,0.0,0.0,0.17,0.09
zemljanka.csv,0.96,0.96,1.0,1.0,0.5,1.0,1.0,0.62,1.0,1.0,1.0,1.0,1.0,0.0,0.95,0.98
