,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.74,0.46,0.84,0.59,0.46,0.63,0.46,0.91,0.5,0.28,0.6
gdis.csv,0.63,0.54,0.69,0.48,0.7,0.75,0.47,0.81,0.19,0.63,0.64
genoviz.csv,0.91,0.8,0.97,0.91,0.68,0.91,1.0,0.83,0.97,0.54,0.09
kml.csv,0.49,0.91,1.0,0.95,0.95,0.83,0.28,0.96,0.51,0.94,1.0
omseek.csv,0.89,0.89,1.0,0.82,0.63,0.42,0.97,0.95,0.93,0.62,0.42
ossbuild.csv,0.43,0.46,0.36,0.61,0.48,0.48,0.95,0.61,0.7,0.7,0.8
popeye-chess.csv,0.63,0.41,0.85,0.54,0.45,0.57,0.51,0.55,0.43,0.77,0.37
quarkplayer.csv,0.91,0.83,0.75,0.43,0.7,0.83,0.84,0.96,0.71,0.85,1.01
turbotrader-bos.csv,0.66,0.4,0.82,0.76,0.39,0.67,0.45,0.61,0.48,0.66,0.72
virtuoso.csv,0.9,0.5,1.0,0.85,0.75,0.8,0.9,0.59,0.69,0.64,0.67
zscreen.csv,0.36,0.43,0.7,0.97,0.8,0.59,0.45,0.65,0.5,0.66,0.71
