,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,4.0,26.0,2.0,1.0,10.0,13.0,2.0,1.0,1.0,3.0,4.0
bscwweasel.csv,1.0,3.0,2.0,6.0,7.0,2.0,2.0,3.0,2.0,2.0,0.0
capcode.csv,1.0,12.0,2.0,40.0,10.0,0.0,2.0,12.0,0.0,2.0,0.0
lamp.csv,0.0,13.0,5.0,13.0,13.0,15.0,2.0,5.0,0.0,0.0,4.0
nodal.csv,0.0,7.0,3.0,4.0,8.0,9.0,0.0,3.0,0.0,1.0,0.0
pydev.csv,5.0,15.0,8.0,25.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0
retromenu.csv,0.0,11.0,2.0,11.0,0.0,6.0,0.0,2.0,3.0,2.0,0.0
smbopensoft.csv,0.0,10.0,10.0,38.0,12.0,0.0,1.0,6.0,7.0,0.0,3.0
stuproa-cims.csv,199.0,0.0,10.0,0.0,11.0,82.0,0.0,1.0,0.0,1.0,5.0
thout.csv,1.0,12.0,1.0,3.0,5.0,7.0,2.0,1.0,5.0,1.0,0.0
uface.csv,1.0,13.0,12.0,11.0,1.0,14.0,2.0,5.0,1.0,6.0,0.0
