,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.67,0.06,0.41,0.3,0.3,0.11,0.83,0.24,0.26,0.34,0.68
bscwweasel.csv,0.67,0.29,0.35,0.32,0.45,0.23,0.69,0.3,0.44,0.38,0.88
capcode.csv,0.75,0.11,0.24,0.14,0.42,0.29,0.76,0.38,0.42,0.35,0.78
lamp.csv,0.5,0.2,0.5,0.16,0.33,0.14,0.74,0.43,0.3,0.47,0.73
nodal.csv,1.0,0.19,0.49,0.19,0.32,0.23,1.0,0.45,0.67,0.42,0.89
pydev.csv,0.49,0.2,0.47,0.14,0.43,0.17,0.7,0.26,0.32,0.51,0.66
retromenu.csv,0.83,0.19,0.47,0.15,0.62,0.19,0.78,0.27,0.39,0.6,1.0
smbopensoft.csv,0.79,0.09,0.21,0.11,0.2,0.1,0.77,0.2,0.38,0.26,0.84
stuproa-cims.csv,0.0,1.0,0.43,0.31,0.44,0.0,1.0,0.57,0.33,0.39,0.76
thout.csv,0.5,0.08,0.46,0.35,0.43,0.19,0.75,0.25,0.25,0.33,0.83
uface.csv,0.49,0.1,0.24,0.19,0.39,0.17,0.74,0.28,0.3,0.35,0.96
