,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.18,0.1,0.37,0.36,0.33,0.18,0.73,0.35,0.4,0.4,0.54
bscwweasel.csv,0.04,0.19,0.42,0.42,0.54,0.29,0.5,0.36,0.39,0.5,0.73
capcode.csv,0.06,0.19,0.39,0.24,0.47,0.39,0.62,0.35,0.56,0.38,0.65
lamp.csv,0.11,0.3,0.33,0.25,0.49,0.23,0.85,0.48,0.4,0.56,0.74
nodal.csv,0.04,0.2,0.46,0.27,0.41,0.33,0.09,0.24,0.64,0.54,0.54
pydev.csv,0.62,0.29,0.41,0.23,0.57,0.28,0.39,0.39,0.4,0.59,0.74
retromenu.csv,0.66,0.28,0.48,0.17,0.67,0.28,0.27,0.2,0.34,0.15,0.2
smbopensoft.csv,0.79,0.17,0.33,0.18,0.26,0.12,0.71,0.22,0.36,0.32,0.66
stuproa-cims.csv,0.0,0.13,0.38,0.28,0.53,0.0,0.04,0.57,0.34,0.42,0.77
thout.csv,0.35,0.13,0.52,0.35,0.57,0.32,0.83,0.37,0.38,0.43,0.72
uface.csv,0.66,0.18,0.37,0.31,0.56,0.27,0.85,0.4,0.39,0.41,0.95
