,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,1.0,8.0,7.0,4.0,4.0,0.0,0.0,7.0,142.0,3.0,10.0,0.0
gamestone.csv,2.0,0.0,2.0,0.0,11.0,0.0,2.0,11.0,112.0,5.0,1.0,0.0
gbif-providertoolkit.csv,1.0,59.0,2.0,2.0,0.0,0.0,0.0,2.0,64.0,1.0,1.0,1.0
heekscad.csv,0.0,4.0,1.0,0.0,4.0,0.0,0.0,2.0,21.0,5.0,5.0,0.0
igarden.csv,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0
levent.csv,0.0,14.0,0.0,4.0,28.0,0.0,0.0,41.0,220.0,0.0,4.0,0.0
lportal.csv,4.0,23.0,0.0,3.0,8.0,0.0,1.0,44.0,0.0,2.0,15.0,0.0
openmsx.csv,4.0,10.0,0.0,1.0,2.0,2.0,0.0,45.0,141.0,0.0,14.0,1.0
owlapi.csv,2.0,13.0,0.0,3.0,1.0,0.0,1.0,0.0,526.0,2.0,64.0,0.0
pnotepad.csv,2.0,10.0,0.0,2.0,2.0,0.0,3.0,25.0,137.0,7.0,17.0,0.0
quark.csv,1.0,59.0,2.0,2.0,0.0,71.0,111.0,0.0,21.0,0.0,0.0,0.0
xcsoar.csv,0.0,17.0,0.0,0.0,13.0,0.0,1.0,6.0,176.0,2.0,15.0,0.0
