,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.55,0.78,0.6,0.8,0.66,0.69,0.04,0.44,0.53,0.73,0.69,0.5
gamestone.csv,0.85,0.0,0.72,0.79,0.68,0.88,0.92,0.62,0.84,0.87,0.63,0.88
gbif-providertoolkit.csv,0.67,1.0,0.84,0.75,0.07,0.7,0.97,0.65,0.65,0.79,0.85,0.74
heekscad.csv,0.06,0.54,0.4,0.56,0.52,0.74,0.51,0.37,0.51,0.84,0.68,0.56
igarden.csv,0.82,0.76,0.79,0.06,0.93,0.79,0.79,0.8,0.88,0.94,0.56,0.92
levent.csv,0.44,0.72,0.5,0.63,0.7,0.0,0.59,0.71,0.91,0.7,0.51,0.66
lportal.csv,0.97,0.64,0.68,0.86,0.97,0.82,0.83,0.89,0.18,0.78,0.78,0.97
openmsx.csv,0.72,0.84,0.77,0.62,0.54,0.72,0.76,0.81,0.8,0.06,0.83,0.91
owlapi.csv,0.74,0.83,0.64,0.73,0.8,0.83,0.81,0.0,0.69,0.67,1.0,0.81
pnotepad.csv,0.5,0.46,0.68,0.81,0.85,0.67,0.66,0.71,0.83,0.83,1.0,0.02
quark.csv,0.69,1.0,0.66,0.87,0.79,1.0,1.0,0.92,0.86,0.92,0.08,0.83
xcsoar.csv,0.5,0.75,0.06,0.65,0.57,0.62,0.72,0.58,0.56,0.71,0.82,0.69
