,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.63,0.29,0.6,0.35,0.67,0.49,0.97,0.75,0.67,0.53,0.62,0.68
gamestone.csv,0.19,1.0,0.34,0.27,0.4,0.15,0.1,0.45,0.2,0.18,0.49,0.15
gbif-providertoolkit.csv,0.39,0.0,0.19,0.3,0.94,0.36,0.04,0.41,0.43,0.26,0.18,0.33
heekscad.csv,0.96,0.54,0.69,0.65,0.64,0.39,0.58,0.78,0.72,0.4,0.68,0.6
igarden.csv,0.21,0.29,0.25,0.95,0.09,0.26,0.25,0.24,0.17,0.07,0.51,0.1
levent.csv,0.67,0.41,0.73,0.67,0.59,1.0,0.61,0.46,0.19,0.47,0.58,0.5
lportal.csv,0.24,0.59,0.51,0.32,0.16,0.48,0.47,0.44,0.85,0.52,0.53,0.3
openmsx.csv,0.62,0.48,0.48,0.69,0.54,0.52,0.48,0.51,0.52,0.95,0.44,0.41
owlapi.csv,0.33,0.28,0.43,0.33,0.25,0.3,0.3,1.0,0.46,0.44,0.0,0.29
pnotepad.csv,0.79,0.72,0.67,0.52,0.46,0.53,0.65,0.58,0.5,0.49,0.0,0.98
quark.csv,0.36,0.0,0.39,0.16,0.25,0.0,0.0,0.1,0.17,0.1,0.93,0.2
xcsoar.csv,0.59,0.41,0.95,0.5,0.53,0.46,0.44,0.52,0.61,0.38,0.5,0.42
