,lazarus-ccr.csv,migen.csv,mvnforum.csv,plplot.csv,lcfizvtop.csv,chaosrts.csv
chaosrts.csv,0.5,0.56,0.67,0.19,0.36,0.74
lazarus-ccr.csv,0.83,0.68,0.89,0.76,0.45,0.87
lcfizvtop.csv,0.5,0.85,0.5,0.71,0.73,0.47
migen.csv,0.62,0.71,0.06,0.14,0.45,0.63
mvnforum.csv,0.0,0.26,0.56,0.67,0.09,0.3
plplot.csv,0.54,0.5,0.83,0.62,0.18,0.65
